Metabolite;Volume;Time;GNMUT mice BRV data;Used for fitting
P_si1;0.3;0.5;NaN;NaN
P_si1;0.3;1;NaN;NaN
P_si1;0.3;1.5;NaN;NaN
P_si1;0.3;2;NaN;NaN
P_si1;0.3;3;0.414;0.414
P_si1;0.3;5;0.041;0.041
P_si1;0.3;7;0.125;0.125
P_si1;0.3;9;0.013;0.013
P_si2;0.3;0;0;0
P_si2;0.3;0.5;NaN;NaN
P_si2;0.3;1;NaN;NaN
P_si2;0.3;1.5;NaN;NaN
P_si2;0.3;2;NaN;NaN
P_si2;0.3;3;1.328;1.328
P_si2;0.3;5;0.355;0.355
P_si2;0.3;7;0.161;0.161
P_si2;0.3;9;0.022;0.022
P_si3;0.3;0;0;0
P_si3;0.3;0.5;NaN;NaN
P_si3;0.3;1;NaN;NaN
P_si3;0.3;1.5;NaN;NaN
P_si3;0.3;2;NaN;NaN
P_si3;0.3;3;0.906;0.906
P_si3;0.3;5;0.212;0.212
P_si3;0.3;7;0.232;0.232
P_si3;0.3;9;0.016;0.016
P_serum;8;0;0;0
P_serum;8;0.5;0.204;0.204
P_serum;8;1;0.109;0.109
P_serum;8;1.5;0.083;0.083
P_serum;8;2;0.065;0.065
P_serum;8;3;0.037;0.037
P_serum;8;5;0.008;0.008
P_serum;8;7;0.016;0.016
P_serum;8;9;0.003;0.003
M_serum;8;0;0;0
M_serum;8;0.5;0.049;0.049
M_serum;8;1;0.045;0.045
M_serum;8;1.5;0.058;0.058
M_serum;8;2;0.041;0.041
M_serum;8;3;0.03;0.03
M_serum;8;5;0.016;0.016
M_serum;8;7;0.011;0.011
M_serum;8;9;0.002;0.002
P_cecum;3;0;0;0
P_cecum;3;0.5;NaN;NaN
P_cecum;3;1;NaN;NaN
P_cecum;3;1.5;NaN;NaN
P_cecum;3;2;NaN;NaN
P_cecum;3;3;0.06;0.06
P_cecum;3;5;0.155;0.155
P_cecum;3;7;0.121;0.121
P_cecum;3;9;0.102;0.102
M_cecum;3;0;0;
M_cecum;3;0.5;NaN;
M_cecum;3;1;NaN;
M_cecum;3;1.5;NaN;
M_cecum;3;2;NaN;
M_cecum;3;3;0.008;
M_cecum;3;5;0.006;
M_cecum;3;7;0.005;
M_cecum;3;9;0.001;
P_colon;3;0;0;0
P_colon;3;0.5;NaN;NaN
P_colon;3;1;NaN;NaN
P_colon;3;1.5;NaN;NaN
P_colon;3;2;NaN;NaN
P_colon;3;3;0.1;0.1
P_colon;3;5;0.231;0.231
P_colon;3;7;0.203;0.203
P_colon;3;9;0.143;0.143
M_colon;3;0;0;
M_colon;3;0.5;NaN;
M_colon;3;1;NaN;
M_colon;3;1.5;NaN;
M_colon;3;2;NaN;
M_colon;3;3;0.008;
M_colon;3;5;0.006;
M_colon;3;7;0.004;
M_colon;3;9;0.002;
P_feces;3;0;0;0
P_feces;3;0.5;NaN;NaN
P_feces;3;1;NaN;NaN
P_feces;3;1.5;NaN;NaN
P_feces;3;2;NaN;NaN
P_feces;3;3;0.132;0.132
P_feces;3;5;0.324;0.324
P_feces;3;7;0.503;0.503
P_feces;3;9;0.327;0.327
M_feces;3;0;0;
M_feces;3;0.5;NaN;
M_feces;3;1;NaN;
M_feces;3;1.5;NaN;
M_feces;3;2;NaN;
M_feces;3;3;0.01;
M_feces;3;5;0.006;
M_feces;3;7;0.005;
M_feces;3;9;0.002;
