Metabolite;Volume;Time;GF mice CLZ data;Used for fitting
P_cecum;3;0;0;0
P_cecum;3;0.5;NaN;NaN
P_cecum;3;1;NaN;NaN
P_cecum;3;1.5;NaN;NaN
P_cecum;3;2;NaN;NaN
P_cecum;3;2.5;NaN;NaN
P_cecum;3;3;0.3666314272203099466906905945506878197193145751953125;0.3666314272203099466906905945506878197193145751953125
P_cecum;3;5;0.46194950338631535213806955653126351535320281982421875;0.46194950338631535213806955653126351535320281982421875
P_cecum;3;7;0.484394743105527159077183796398458071053028106689453125;0.484394743105527159077183796398458071053028106689453125
P_cecum;3;9;0.522243259912563817515263053792295977473258972167968750;0.522243259912563817515263053792295977473258972167968750
P_cecum;3;12;0.24354165630895813210443634488910902291536331176757812500;0.24354165630895813210443634488910902291536331176757812500
P_colon;3;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
P_colon;3;0.5;NaN;NaN
P_colon;3;1;NaN;NaN
P_colon;3;1.5;NaN;NaN
P_colon;3;2;NaN;NaN
P_colon;3;2.5;NaN;NaN
P_colon;3;3;0.389165825318376457087055086958571337163448333740234375000000;0.389165825318376457087055086958571337163448333740234375000000
P_colon;3;5;0.355745486518827147559562718015513382852077484130859375000000;0.355745486518827147559562718015513382852077484130859375000000
P_colon;3;7;0.267300028684399171297059183416422456502914428710937500000000;0.267300028684399171297059183416422456502914428710937500000000
P_colon;3;9;0.358054125541907131147212339783436618745326995849609375000000;0.358054125541907131147212339783436618745326995849609375000000
P_colon;3;12;0.133889533055210507850318890632479451596736907958984375000000;0.133889533055210507850318890632479451596736907958984375000000
P_feces;3;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
P_feces;3;0.5;NaN;NaN
P_feces;3;1;NaN;NaN
P_feces;3;1.5;NaN;NaN
P_feces;3;2;NaN;NaN
P_feces;3;2.5;NaN;NaN
P_feces;3;3;0.424522180776660540413303124296362511813640594482421875000000;0.424522180776660540413303124296362511813640594482421875000000
P_feces;3;5;0.455679494704363474699704283921164460480213165283203125000000;0.455679494704363474699704283921164460480213165283203125000000
P_feces;3;7;0.388340120139325228887372531971777789294719696044921875000000;0.388340120139325228887372531971777789294719696044921875000000
P_feces;3;9;0.410634609318752452633560778849641792476177215576171875000000;0.410634609318752452633560778849641792476177215576171875000000
P_feces;3;12;0.217275648964798423490307754946115892380475997924804687500000;0.217275648964798423490307754946115892380475997924804687500000
M2_serum;30;0;0.003003251757422303012956543710743062547408044338226318359375;0.003003251757422303012956543710743062547408044338226318359375
M2_serum;30;0.5;0.018936480778376878902902191725843294989317655563354492187500;0.018936480778376878902902191725843294989317655563354492187500
M2_serum;30;1;0.030806346926621513970800947390671353787183761596679687500000;0.030806346926621513970800947390671353787183761596679687500000
M2_serum;30;1.5;0.029780133021644516339021535600295464973896741867065429687500;0.029780133021644516339021535600295464973896741867065429687500
M2_serum;30;2;0.050686643114757776173995296176144620403647422790527343750000;0.050686643114757776173995296176144620403647422790527343750000
M2_serum;30;2.5;0.037647860050293011080491112352319760248064994812011718750000;0.037647860050293011080491112352319760248064994812011718750000
M2_serum;30;3;0.170003491567355113911474973065196536481380462646484375000000;0.170003491567355113911474973065196536481380462646484375000000
M2_serum;30;5;0.119202884206236037201165345322806388139724731445312500000000;0.119202884206236037201165345322806388139724731445312500000000
M2_serum;30;7;0.071076511171888068219004708225838840007781982421875000000000;0.071076511171888068219004708225838840007781982421875000000000
M2_serum;30;9;0.066496956651841118701717903149983612820506095886230468750000;0.066496956651841118701717903149983612820506095886230468750000
M2_serum;30;12;0.027275654427138688873366589859870146028697490692138671875000;0.027275654427138688873366589859870146028697490692138671875000
P_serum;30;0;0.000247948320140589932754349167254304120433516800403594970703;0.000247948320140589932754349167254304120433516800403594970703
P_serum;30;0.5;0.866861369720013819062387483427301049232482910156250000000000;0.866861369720013819062387483427301049232482910156250000000000
P_serum;30;1;1.335230292503730042952270196110475808382034301757812500000000;1.335230292503730042952270196110475808382034301757812500000000
P_serum;30;1.5;1.122205374674620115271750364627223461866378784179687500000000;1.122205374674620115271750364627223461866378784179687500000000
P_serum;30;2;1.441505999264706350260212275316007435321807861328125000000000;1.441505999264706350260212275316007435321807861328125000000000
P_serum;30;2.5;1.088136691053751103908098230022005736827850341796875000000000;1.088136691053751103908098230022005736827850341796875000000000
P_serum;30;3;0.929414380181773913669474040943896397948265075683593750000000;0.929414380181773913669474040943896397948265075683593750000000
P_serum;30;5;0.868624248922457375954309100052341818809509277343750000000000;0.868624248922457375954309100052341818809509277343750000000000
P_serum;30;7;0.613943236346207177334122206957545131444931030273437500000000;0.613943236346207177334122206957545131444931030273437500000000
P_serum;30;9;0.664807170775503109005910573614528402686119079589843750000000;0.664807170775503109005910573614528402686119079589843750000000
P_serum;30;12;0.348684574426008697667356273086625151336193084716796875000000;0.348684574426008697667356273086625151336193084716796875000000
M1_si1;0.3;0;0.013022178964226489156219557230542704928666353225708007812500;0.013022178964226489156219557230542704928666353225708007812500
M1_si1;0.3;0.5;NaN;NaN
M1_si1;0.3;1;NaN;NaN
M1_si1;0.3;1.5;NaN;NaN
M1_si1;0.3;2;NaN;NaN
M1_si1;0.3;2.5;NaN;NaN
M1_si1;0.3;3;3.453818901652424333548196955234743654727935791015625000000000;3.453818901652424333548196955234743654727935791015625000000000
M1_si1;0.3;5;8.708963380368132334297115448862314224243164062500000000000000;8.708963380368132334297115448862314224243164062500000000000000
M1_si1;0.3;7;10.907755515341285956765204900875687599182128906250000000000000;10.907755515341285956765204900875687599182128906250000000000000
M1_si1;0.3;9;9.134253236684580556925538985524326562881469726562500000000000;9.134253236684580556925538985524326562881469726562500000000000
M1_si1;0.3;12;7.736320569920718703826878481777384877204895019531250000000000;7.736320569920718703826878481777384877204895019531250000000000
M1_si2;0.3;0;0.012693951211930249584058927325713739264756441116333007812500;0.012693951211930249584058927325713739264756441116333007812500
M1_si2;0.3;0.5;NaN;NaN
M1_si2;0.3;1;NaN;NaN
M1_si2;0.3;1.5;NaN;NaN
M1_si2;0.3;2;NaN;NaN
M1_si2;0.3;2.5;NaN;NaN
M1_si2;0.3;3;1.624799294176901387487532701925374567508697509765625000000000;1.624799294176901387487532701925374567508697509765625000000000
M1_si2;0.3;5;4.216932411105874578538532659877091646194458007812500000000000;4.216932411105874578538532659877091646194458007812500000000000
M1_si2;0.3;7;6.886218956422067272171716467710211873054504394531250000000000;6.886218956422067272171716467710211873054504394531250000000000
M1_si2;0.3;9;8.475768981634809406955355370882898569107055664062500000000000;8.475768981634809406955355370882898569107055664062500000000000
M1_si2;0.3;12;6.811285395284937926874135882826521992683410644531250000000000;6.811285395284937926874135882826521992683410644531250000000000
M1_si3;0.3;0;0.007281706009623700910637911221101603587158024311065673828125;0.007281706009623700910637911221101603587158024311065673828125
M1_si3;0.3;0.5;NaN;NaN
M1_si3;0.3;1;NaN;NaN
M1_si3;0.3;1.5;NaN;NaN
M1_si3;0.3;2;NaN;NaN
M1_si3;0.3;2.5;NaN;NaN
M1_si3;0.3;3;0.135612475848847946480191239970736205577850341796875000000000;0.135612475848847946480191239970736205577850341796875000000000
