Parameter,Initial value,Model estimate,Standard Error
k_aSI_P,1.232,1.232,0.000
k_e_P,2.320,2.320,0.000
k_cH,0.341,0.341,0.000
k_e_M,0.480,0.480,0.000
k_p1,0.469,0.469,0.000
k_p2,11171.004,11171.004,0.000
k_p3,1.007,1.007,0.000
k_p4,0.606,0.606,0.000
k_p5,0.259,0.259,0.000
k_aLI_P,0.000,0.000,0.000
k_cB,0.815,316.728,770.136
k_aLI1_M,0.906,1.213,0.484
k_aLI2_M,0.127,7.246,1.497
D,7.000,7.000,0.000
F,0.694,0.694,0.000
Vsi,0.300,0.300,0.000
Vserum,8.000,8.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,0.250,0.250,0.000
VcolonCVR,0.250,0.250,0.000
VfecesCVR,0.250,0.250,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,8.748,,,
P_si,1.0,0.000,,4.726,,,
P_si,1.5,0.000,,2.554,,,
P_si,2.0,0.000,,1.379,,,
P_si,3.0,0.000,,0.402,,,
P_si,5.0,0.000,,0.034,,,
P_si,7.0,0.000,,0.003,,,
P_si,9.0,0.000,,0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,5.647,,,
P_si0,1.0,0.000,,4.466,,,
P_si0,1.5,0.000,,3.532,,,
P_si0,2.0,0.000,,2.793,,,
P_si0,3.0,0.000,,1.747,,,
P_si0,5.0,0.000,,0.684,,,
P_si0,7.0,0.000,,0.267,,,
P_si0,9.0,0.000,,0.105,,,
P_si1,0.0,0.000,,0.000,1.494,0.966,0.872
P_si1,0.5,NaN,,1.325,,,
P_si1,1.0,NaN,,2.096,,,
P_si1,1.5,NaN,,2.486,,,
P_si1,2.0,NaN,,2.621,,,
P_si1,3.0,0.393,,2.460,,,
P_si1,5.0,0.060,,1.604,,,
P_si1,7.0,0.081,,0.878,,,
P_si1,9.0,0.020,,0.442,,,
P_si2,0.0,0.000,,0.000,1.377,1.024,0.679
P_si2,0.5,NaN,,0.155,,,
P_si2,1.0,NaN,,0.492,,,
P_si2,1.5,NaN,,0.875,,,
P_si2,2.0,NaN,,1.230,,,
P_si2,3.0,0.513,,1.731,,,
P_si2,5.0,0.203,,1.881,,,
P_si2,7.0,0.096,,1.443,,,
P_si2,9.0,0.054,,0.933,,,
P_si3,0.0,0.000,,0.000,0.401,0.363,0.537
P_si3,0.5,NaN,,0.000,,,
P_si3,1.0,NaN,,0.000,,,
P_si3,1.5,NaN,,0.000,,,
P_si3,2.0,NaN,,0.000,,,
P_si3,3.0,1.383,,0.000,,,
P_si3,5.0,0.274,,0.000,,,
P_si3,7.0,0.127,,0.000,,,
P_si3,9.0,0.033,,0.000,,,
P_serum,0.0,0.000,,0.000,0.002,0.034,0.985
P_serum,0.5,0.219,,0.144,,,
P_serum,1.0,0.173,,0.116,,,
P_serum,1.5,0.144,,0.073,,,
P_serum,2.0,0.100,,0.042,,,
P_serum,3.0,0.034,,0.013,,,
P_serum,5.0,0.010,,0.001,,,
P_serum,7.0,0.007,,0.000,,,
P_serum,9.0,0.004,,0.000,,,
M_serum,0.0,0.000,,0.000,0.007,0.075,0.651
M_serum,0.5,0.052,,0.016,,,
M_serum,1.0,0.095,,0.033,,,
M_serum,1.5,0.101,,0.040,,,
M_serum,2.0,0.179,,0.040,,,
M_serum,3.0,0.127,,0.031,,,
M_serum,5.0,0.141,,0.014,,,
M_serum,7.0,0.102,,0.005,,,
M_serum,9.0,0.062,,0.002,,,
P_cecum,0.0,0.000,0.000,0.000,0.000,0.003,0.584
P_cecum,0.5,NaN,NaN,0.000,,,
P_cecum,1.0,NaN,NaN,0.001,,,
P_cecum,1.5,NaN,NaN,0.002,,,
P_cecum,2.0,NaN,NaN,0.002,,,
P_cecum,3.0,0.017,0.017,0.003,,,
P_cecum,5.0,0.004,0.004,0.003,,,
P_cecum,7.0,0.003,0.003,0.003,,,
P_cecum,9.0,0.001,0.001,0.002,,,
P_colon,0.0,0.000,0.000,0.000,0.000,0.006,0.187
P_colon,0.5,NaN,NaN,0.000,,,
P_colon,1.0,NaN,NaN,0.000,,,
P_colon,1.5,NaN,NaN,0.001,,,
P_colon,2.0,NaN,NaN,0.001,,,
P_colon,3.0,0.024,0.024,0.003,,,
P_colon,5.0,0.012,0.012,0.005,,,
P_colon,7.0,0.004,0.004,0.005,,,
P_colon,9.0,0.001,0.001,0.004,,,
P_feces,0.0,0.000,0.000,0.000,0.000,0.002,0.571
P_feces,0.5,NaN,NaN,0.000,,,
P_feces,1.0,NaN,NaN,0.000,,,
P_feces,1.5,NaN,NaN,0.000,,,
P_feces,2.0,NaN,NaN,0.000,,,
P_feces,3.0,0.003,0.003,0.001,,,
P_feces,5.0,0.003,0.003,0.005,,,
P_feces,7.0,0.005,0.005,0.007,,,
P_feces,9.0,0.002,0.002,0.008,,,
M_cecum,0.0,0.000,0.000,0.000,0.003,0.042,0.702
M_cecum,0.5,NaN,NaN,0.007,,,
M_cecum,1.0,NaN,NaN,0.027,,,
M_cecum,1.5,NaN,NaN,0.053,,,
M_cecum,2.0,NaN,NaN,0.078,,,
M_cecum,3.0,0.206,0.206,0.115,,,
M_cecum,5.0,0.091,0.091,0.129,,,
M_cecum,7.0,0.055,0.055,0.100,,,
M_cecum,9.0,0.028,0.028,0.065,,,
M_colon,0.0,0.000,0.000,0.000,0.002,0.031,0.750
M_colon,0.5,NaN,NaN,0.001,,,
M_colon,1.0,NaN,NaN,0.006,,,
M_colon,1.5,NaN,NaN,0.016,,,
M_colon,2.0,NaN,NaN,0.029,,,
M_colon,3.0,0.151,0.151,0.052,,,
M_colon,5.0,0.109,0.109,0.071,,,
M_colon,7.0,0.071,0.071,0.060,,,
M_colon,9.0,0.033,0.033,0.041,,,
M_feces,0.0,0.000,0.000,0.000,0.003,0.041,0.293
M_feces,0.5,NaN,NaN,0.000,,,
M_feces,1.0,NaN,NaN,0.001,,,
M_feces,1.5,NaN,NaN,0.004,,,
M_feces,2.0,NaN,NaN,0.010,,,
M_feces,3.0,0.121,0.121,0.030,,,
M_feces,5.0,0.105,0.105,0.080,,,
M_feces,7.0,0.088,0.088,0.111,,,
M_feces,9.0,0.045,0.045,0.114,,,
M_serumbact,0.0,0.000,,0.000,NaN,NaN,NaN
M_serumbact,0.5,0.000,,0.000,,,
M_serumbact,1.0,0.000,,0.002,,,
M_serumbact,1.5,0.000,,0.006,,,
M_serumbact,2.0,0.000,,0.012,,,
M_serumbact,3.0,0.000,,0.026,,,
M_serumbact,5.0,0.000,,0.051,,,
M_serumbact,7.0,0.000,,0.056,,,
M_serumbact,9.0,0.000,,0.047,,,
Host contribution to M_serum = 0.16
Bacterial contribution to M_serum = 0.36
Bacterial fraction in contribution to M_serum = 0.69
