Parameter,Initial value,Model estimate,Standard Error
k_aSI_P,0.041,1.232,0.193
k_e_P,0.454,2.320,0.221
k_cH,0.797,0.341,0.071
k_e_M,0.480,0.480,0.000
k_p1,0.198,0.469,0.068
k_p2,0.120,11171.004,6072427.461
k_p3,0.848,1.007,0.287
k_p4,0.064,0.606,0.150
k_p5,0.861,0.259,0.124
k_aLI_P,0.000,0.000,0.000
k_cB,0.000,0.000,0.000
k_aLI1_M,0.000,0.000,0.000
k_aLI2_M,0.000,0.000,0.000
D,7.000,7.000,0.000
F,0.694,0.694,0.000
Vsi,0.300,0.300,0.000
Vserum,8.000,8.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,0.250,0.250,0.000
VcolonCVR,0.250,0.250,0.000
VfecesCVR,0.250,0.250,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,8.748,,,
P_si,1.0,0.000,,4.726,,,
P_si,1.5,0.000,,2.553,,,
P_si,2.0,0.000,,1.379,,,
P_si,3.0,0.000,,0.402,,,
P_si,5.0,0.000,,0.034,,,
P_si,7.0,0.000,,0.003,,,
P_si,9.0,0.000,,0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,5.647,,,
P_si0,1.0,0.000,,4.466,,,
P_si0,1.5,0.000,,3.532,,,
P_si0,2.0,0.000,,2.793,,,
P_si0,3.0,0.000,,1.747,,,
P_si0,5.0,0.000,,0.684,,,
P_si0,7.0,0.000,,0.267,,,
P_si0,9.0,0.000,,0.105,,,
P_si1,0.0,0.000,,0.000,1.483,0.951,0.920
P_si1,0.5,NaN,,1.325,,,
P_si1,1.0,NaN,,2.096,,,
P_si1,1.5,NaN,,2.486,,,
P_si1,2.0,NaN,,2.621,,,
P_si1,3.0,0.261,,2.460,,,
P_si1,5.0,0.281,,1.604,,,
P_si1,7.0,0.075,,0.878,,,
P_si1,9.0,0.012,,0.442,,,
P_si2,0.0,0.000,,0.000,1.298,0.984,0.548
P_si2,0.5,NaN,,0.155,,,
P_si2,1.0,NaN,,0.492,,,
P_si2,1.5,NaN,,0.875,,,
P_si2,2.0,NaN,,1.230,,,
P_si2,3.0,0.787,,1.731,,,
P_si2,5.0,0.176,,1.881,,,
P_si2,7.0,0.066,,1.443,,,
P_si2,9.0,0.040,,0.933,,,
P_si3,0.0,0.000,0.000,0.000,0.035,0.136,0.712
P_si3,0.5,NaN,NaN,0.000,,,
P_si3,1.0,NaN,NaN,0.000,,,
P_si3,1.5,NaN,NaN,0.000,,,
P_si3,2.0,NaN,NaN,0.000,,,
P_si3,3.0,0.373,0.373,0.000,,,
P_si3,5.0,0.158,0.158,0.000,,,
P_si3,7.0,0.088,0.088,0.000,,,
P_si3,9.0,0.061,0.061,0.000,,,
P_serum,0.0,0.000,0.000,0.000,0.000,0.013,0.969
P_serum,0.5,0.157,0.157,0.144,,,
P_serum,1.0,0.104,0.104,0.116,,,
P_serum,1.5,0.058,0.058,0.073,,,
P_serum,2.0,0.066,0.066,0.042,,,
P_serum,3.0,0.035,0.035,0.013,,,
P_serum,5.0,0.017,0.017,0.001,,,
P_serum,7.0,0.010,0.010,0.000,,,
P_serum,9.0,0.004,0.004,0.000,,,
M_serum,0.0,0.000,0.000,0.000,0.000,0.008,0.703
M_serum,0.5,0.048,0.048,0.016,,,
M_serum,1.0,0.038,0.038,0.033,,,
M_serum,1.5,0.023,0.023,0.040,,,
M_serum,2.0,0.042,0.042,0.040,,,
M_serum,3.0,0.028,0.028,0.031,,,
M_serum,5.0,0.011,0.011,0.014,,,
M_serum,7.0,0.009,0.009,0.005,,,
M_serum,9.0,0.006,0.006,0.002,,,
P_cecum,0.0,0.000,0.000,0.000,0.001,0.027,0.624
P_cecum,0.5,NaN,NaN,0.001,,,
P_cecum,1.0,NaN,NaN,0.007,,,
P_cecum,1.5,NaN,NaN,0.017,,,
P_cecum,2.0,NaN,NaN,0.030,,,
P_cecum,3.0,0.033,0.033,0.057,,,
P_cecum,5.0,0.045,0.045,0.084,,,
P_cecum,7.0,0.102,0.102,0.076,,,
P_cecum,9.0,0.102,0.102,0.055,,,
P_colon,0.0,0.000,0.000,0.000,0.001,0.020,0.905
P_colon,0.5,NaN,NaN,0.000,,,
P_colon,1.0,NaN,NaN,0.002,,,
P_colon,1.5,NaN,NaN,0.006,,,
P_colon,2.0,NaN,NaN,0.015,,,
P_colon,3.0,0.048,0.048,0.042,,,
P_colon,5.0,0.061,0.061,0.102,,,
P_colon,7.0,0.149,0.149,0.126,,,
P_colon,9.0,0.139,0.139,0.112,,,
P_feces,0.0,0.000,0.000,0.000,0.003,0.041,0.828
P_feces,0.5,NaN,NaN,0.000,,,
P_feces,1.0,NaN,NaN,0.000,,,
P_feces,1.5,NaN,NaN,0.001,,,
P_feces,2.0,NaN,NaN,0.004,,,
P_feces,3.0,0.088,0.088,0.018,,,
P_feces,5.0,0.071,0.071,0.083,,,
P_feces,7.0,0.242,0.242,0.162,,,
P_feces,9.0,0.166,0.166,0.210,,,
M_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
M_cecum,0.5,NaN,,0.000,,,
M_cecum,1.0,NaN,,0.000,,,
M_cecum,1.5,NaN,,0.000,,,
M_cecum,2.0,NaN,,0.000,,,
M_cecum,3.0,0.008,,0.000,,,
M_cecum,5.0,0.004,,0.000,,,
M_cecum,7.0,0.005,,0.000,,,
M_cecum,9.0,0.003,,0.000,,,
M_colon,0.0,0.000,,0.000,NaN,NaN,NaN
M_colon,0.5,NaN,,0.000,,,
M_colon,1.0,NaN,,0.000,,,
M_colon,1.5,NaN,,0.000,,,
M_colon,2.0,NaN,,0.000,,,
M_colon,3.0,0.009,,0.000,,,
M_colon,5.0,0.004,,0.000,,,
M_colon,7.0,0.005,,0.000,,,
M_colon,9.0,0.004,,0.000,,,
M_feces,0.0,0.000,,0.000,NaN,NaN,NaN
M_feces,0.5,NaN,,0.000,,,
M_feces,1.0,NaN,,0.000,,,
M_feces,1.5,NaN,,0.000,,,
M_feces,2.0,NaN,,0.000,,,
M_feces,3.0,0.015,,0.000,,,
M_feces,5.0,0.005,,0.000,,,
M_feces,7.0,0.008,,0.000,,,
M_feces,9.0,0.004,,0.000,,,
M_serumbact,0.0,0.000,,0.000,NaN,NaN,NaN
M_serumbact,0.5,0.000,,0.000,,,
M_serumbact,1.0,0.000,,0.000,,,
M_serumbact,1.5,0.000,,0.000,,,
M_serumbact,2.0,0.000,,0.000,,,
M_serumbact,3.0,0.000,,0.000,,,
M_serumbact,5.0,0.000,,0.000,,,
M_serumbact,7.0,0.000,,0.000,,,
M_serumbact,9.0,0.000,,0.000,,,
Host contribution to M_serum = 0.16
Bacterial contribution to M_serum = 0.00
Bacterial fraction in contribution to M_serum = 0.00
