Parameter,Initial value,Model estimate,Standard Error
k_aSI_P,1.696,1.696,0.000
k_e_P,1.973,1.973,0.000
k_cH,0.374,0.374,0.000
k_e_M,0.480,0.480,0.000
k_p1,1.141,1.141,0.000
k_p2,1.780,1.780,0.000
k_p3,1.182,1.182,0.000
k_p4,0.583,0.583,0.000
k_p5,0.122,0.122,0.000
k_aLI_P,0.000,0.000,0.000
k_cB,0.891,240.903,497.494
k_aLI1_M,0.959,1.055,0.405
k_aLI2_M,0.547,4.463,1.155
D,7.000,7.000,0.000
F,0.694,0.694,0.000
Vsi,0.300,0.300,0.000
Vserum,8.000,8.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,3.000,3.000,0.000
VcolonCVR,3.000,3.000,0.000
VfecesCVR,3.000,3.000,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,6.935,,,
P_si,1.0,0.000,,2.970,,,
P_si,1.5,0.000,,1.271,,,
P_si,2.0,0.000,,0.545,,,
P_si,3.0,0.000,,0.100,,,
P_si,5.0,0.000,,0.003,,,
P_si,7.0,0.000,,0.000,,,
P_si,9.0,0.000,,0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,4.035,,,
P_si0,1.0,0.000,,2.280,,,
P_si0,1.5,0.000,,1.289,,,
P_si0,2.0,0.000,,0.728,,,
P_si0,3.0,0.000,,0.233,,,
P_si0,5.0,0.000,,0.024,,,
P_si0,7.0,0.000,,0.002,,,
P_si0,9.0,0.000,,0.000,,,
P_si1,0.0,0.000,,0.000,0.039,0.109,0.990
P_si1,0.5,NaN,,2.303,,,
P_si1,1.0,NaN,,2.603,,,
P_si1,1.5,NaN,,2.207,,,
P_si1,2.0,NaN,,1.662,,,
P_si1,3.0,0.359,,0.797,,,
P_si1,5.0,0.071,,0.135,,,
P_si1,7.0,0.060,,0.019,,,
P_si1,9.0,0.004,,0.003,,,
P_si2,0.0,0.000,,0.000,0.034,0.118,0.993
P_si2,0.5,NaN,,0.657,,,
P_si2,1.0,NaN,,1.485,,,
P_si2,1.5,NaN,,1.889,,,
P_si2,2.0,NaN,,1.898,,,
P_si2,3.0,1.009,,1.364,,,
P_si2,5.0,0.173,,0.386,,,
P_si2,7.0,0.063,,0.077,,,
P_si2,9.0,0.004,,0.013,,,
P_si3,0.0,0.000,,0.000,0.012,0.072,0.980
P_si3,0.5,NaN,,0.116,,,
P_si3,1.0,NaN,,0.485,,,
P_si3,1.5,NaN,,0.862,,,
P_si3,2.0,NaN,,1.080,,,
P_si3,3.0,1.204,,1.026,,,
P_si3,5.0,0.225,,0.388,,,
P_si3,7.0,0.097,,0.090,,,
P_si3,9.0,0.007,,0.017,,,
P_serum,0.0,0.000,,0.000,0.000,0.013,0.975
P_serum,0.5,0.196,,0.188,,,
P_serum,1.0,0.118,,0.139,,,
P_serum,1.5,0.087,,0.077,,,
P_serum,2.0,0.065,,0.039,,,
P_serum,3.0,0.041,,0.008,,,
P_serum,5.0,0.006,,0.000,,,
P_serum,7.0,0.004,,0.000,,,
P_serum,9.0,NaN,,0.000,,,
M_serum,0.0,0.000,,0.000,0.001,0.026,0.728
M_serum,0.5,0.069,,0.023,,,
M_serum,1.0,0.062,,0.046,,,
M_serum,1.5,0.059,,0.054,,,
M_serum,2.0,0.068,,0.051,,,
M_serum,3.0,0.090,,0.037,,,
M_serum,5.0,0.058,,0.015,,,
M_serum,7.0,0.043,,0.006,,,
M_serum,9.0,0.017,,0.002,,,
P_cecum,0.0,0.000,0.000,0.000,0.000,0.000,0.624
P_cecum,0.5,NaN,NaN,0.000,,,
P_cecum,1.0,NaN,NaN,0.000,,,
P_cecum,1.5,NaN,NaN,0.001,,,
P_cecum,2.0,NaN,NaN,0.001,,,
P_cecum,3.0,0.001,0.001,0.001,,,
P_cecum,5.0,0.001,0.001,0.000,,,
P_cecum,7.0,0.001,0.001,0.000,,,
P_cecum,9.0,0.000,0.000,0.000,,,
P_colon,0.0,0.000,0.000,0.000,0.000,0.001,0.842
P_colon,0.5,NaN,NaN,0.000,,,
P_colon,1.0,NaN,NaN,0.000,,,
P_colon,1.5,NaN,NaN,0.000,,,
P_colon,2.0,NaN,NaN,0.001,,,
P_colon,3.0,0.003,0.003,0.001,,,
P_colon,5.0,0.001,0.001,0.001,,,
P_colon,7.0,0.001,0.001,0.000,,,
P_colon,9.0,0.000,0.000,0.000,,,
P_feces,0.0,0.000,0.000,0.000,0.000,0.000,0.813
P_feces,0.5,NaN,NaN,0.000,,,
P_feces,1.0,NaN,NaN,0.000,,,
P_feces,1.5,NaN,NaN,0.000,,,
P_feces,2.0,NaN,NaN,0.000,,,
P_feces,3.0,0.001,0.001,0.001,,,
P_feces,5.0,0.001,0.001,0.002,,,
P_feces,7.0,0.002,0.002,0.002,,,
P_feces,9.0,0.001,0.001,0.002,,,
M_cecum,0.0,0.000,0.000,0.000,0.000,0.009,0.739
M_cecum,0.5,NaN,NaN,0.002,,,
M_cecum,1.0,NaN,NaN,0.011,,,
M_cecum,1.5,NaN,NaN,0.023,,,
M_cecum,2.0,NaN,NaN,0.032,,,
M_cecum,3.0,0.025,0.025,0.033,,,
M_cecum,5.0,0.026,0.026,0.014,,,
M_cecum,7.0,0.018,0.018,0.003,,,
M_cecum,9.0,0.009,0.009,0.001,,,
M_colon,0.0,0.000,0.000,0.000,0.000,0.009,0.938
M_colon,0.5,NaN,NaN,0.000,,,
M_colon,1.0,NaN,NaN,0.003,,,
M_colon,1.5,NaN,NaN,0.008,,,
M_colon,2.0,NaN,NaN,0.015,,,
M_colon,3.0,0.037,0.037,0.023,,,
M_colon,5.0,0.025,0.025,0.014,,,
M_colon,7.0,0.020,0.020,0.004,,,
M_colon,9.0,0.007,0.007,0.001,,,
M_feces,0.0,0.000,0.000,0.000,0.000,0.008,0.687
M_feces,0.5,NaN,NaN,0.000,,,
M_feces,1.0,NaN,NaN,0.000,,,
M_feces,1.5,NaN,NaN,0.002,,,
M_feces,2.0,NaN,NaN,0.005,,,
M_feces,3.0,0.029,0.029,0.015,,,
M_feces,5.0,0.023,0.023,0.032,,,
M_feces,7.0,0.035,0.035,0.034,,,
M_feces,9.0,0.013,0.013,0.029,,,
M_serumbact,0.0,0.000,,0.000,NaN,NaN,NaN
M_serumbact,0.5,0.000,,0.000,,,
M_serumbact,1.0,0.000,,0.005,,,
M_serumbact,1.5,0.000,,0.018,,,
M_serumbact,2.0,0.000,,0.037,,,
M_serumbact,3.0,0.000,,0.074,,,
M_serumbact,5.0,0.000,,0.086,,,
M_serumbact,7.0,0.000,,0.051,,,
M_serumbact,9.0,0.000,,0.024,,,
Host contribution to M_serum = 0.20
Bacterial contribution to M_serum = 0.48
Bacterial fraction in contribution to M_serum = 0.71
