Parameter,Initial value,Model estimate,Standard Error
k_a_P,1.300,1.300,0.000
k_e_P,0.038,0.038,0.000
k_cH_M1,0.050,0.050,0.000
k_aSI_M1,0.011,0.011,0.000
k_cH_M3,0.056,0.056,0.000
k_p4,1.169,1.169,0.000
k_p3,0.000,0.000,0.000
k_aLI1_M1,0.302,0.302,0.000
k_aLI2_M1,22094.284,22094.284,0.000
k_e_M1,0.001,0.001,0.000
k_e_M3,0.242,0.242,0.000
k_cB_M3,0.097,8054635490292.434,942400238321559813488640.000
k_aLI1_M3,0.092,0.397,0.200
k_eh,0.414,0.414,0.000
k_aSI_P,0.079,0.079,0.000
k_p1,6958.985,6958.985,0.000
k_p2,0.295,0.295,0.000
k_aLI1_P,4.974,4.974,0.000
k_aLI2_P,0.014,0.014,0.000
k_cH_M2,0.081,0.081,0.000
k_cH_M2M3,0.000,0.000,0.000
k_e_M2,0.982,0.982,0.000
k_cB_M2,0.702,69.409,241.470
k_aLI1_M2,0.128,5.842,2.840
D,100.000,100.000,0.000
F,0.556,0.556,0.000
Vsi,0.300,0.300,0.000
Vserum,30.000,30.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,0.250,0.250,0.000
VcolonCVR,0.250,0.250,0.000
VfecesCVR,0.250,0.250,0.000
Vurine,2.000,2.000,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,96.752,,,
P_si,1.0,0.000,,50.509,,,
P_si,1.5,0.000,,26.365,,,
P_si,2.0,0.000,,13.779,,,
P_si,2.5,0.000,,7.179,,,
P_si,3.0,0.000,,3.744,,,
P_si,5.0,0.000,,0.278,,,
P_si,7.0,0.000,,0.021,,,
P_si,9.0,0.000,,0.001,,,
P_si,12.0,0.000,,-0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,-0.000,,,
P_si0,1.0,0.000,,0.000,,,
P_si0,1.5,0.000,,-0.000,,,
P_si0,2.0,0.000,,0.000,,,
P_si0,2.5,0.000,,-0.000,,,
P_si0,3.0,0.000,,-0.000,,,
P_si0,5.0,0.000,,-0.000,,,
P_si0,7.0,0.000,,0.000,,,
P_si0,9.0,0.000,,0.000,,,
P_si0,12.0,0.000,,0.000,,,
P_serum,0.0,0.000,,0.000,1445.353,33.570,0.859
P_serum,0.5,54.600,,81.346,,,
P_serum,1.0,134.300,,105.102,,,
P_serum,1.5,125.100,,103.364,,,
P_serum,2.0,161.000,,91.788,,,
P_serum,2.5,119.900,,77.809,,,
P_serum,3.0,105.200,,64.505,,,
P_serum,5.0,70.700,,30.310,,,
P_serum,7.0,63.500,,16.846,,,
P_serum,9.0,52.200,,10.894,,,
P_serum,12.0,17.500,,6.260,,,
