Parameter,Initial value,Model estimate,Standard Error
k_a_P,1.300,1.300,0.000
k_e_P,0.888,0.038,0.770
k_cH_M1,0.436,0.050,0.031
k_aSI_M1,0.886,0.011,0.944
k_cH_M3,0.931,0.056,8.309
k_p4,0.613,1.169,388609.481
k_p3,0.819,0.000,10.277
k_aLI1_M1,0.395,0.302,9.886
k_aLI2_M1,0.827,22094.284,5851710875549.855
k_e_M1,0.259,0.001,8.318
k_e_M3,0.191,0.242,27.119
k_cB_M3,0.000,0.000,0.000
k_aLI1_M3,0.000,0.000,0.000
k_eh,0.613,0.414,0.219
k_aSI_P,0.504,0.079,0.831
k_p1,0.819,6958.985,13036.175
k_p2,0.532,0.295,0.768
k_aLI1_P,0.454,4.974,20.069
k_aLI2_P,0.202,0.014,771779.119
k_cH_M2,0.898,0.081,0.072
k_cH_M2M3,0.593,0.000,6.110
k_e_M2,0.065,0.982,6.205
k_cB_M2,0.000,0.000,0.000
k_aLI1_M2,0.000,0.000,0.000
D,100.000,100.000,0.000
F,0.556,0.556,0.000
Vsi,0.300,0.300,0.000
Vserum,30.000,30.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,0.250,0.250,0.000
VcolonCVR,0.250,0.250,0.000
VfecesCVR,0.250,0.250,0.000
Vurine,2.000,2.000,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,96.753,,,
P_si,1.0,0.000,,50.509,,,
P_si,1.5,0.000,,26.369,,,
P_si,2.0,0.000,,13.762,,,
P_si,2.5,0.000,,7.180,,,
P_si,3.0,0.000,,3.747,,,
P_si,5.0,0.000,,0.277,,,
P_si,7.0,0.000,,0.020,,,
P_si,9.0,0.000,,0.001,,,
P_si,12.0,0.000,,-0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,0.000,,,
P_si0,1.0,0.000,,0.000,,,
P_si0,1.5,0.000,,-0.000,,,
P_si0,2.0,0.000,,-0.000,,,
P_si0,2.5,0.000,,-0.000,,,
P_si0,3.0,0.000,,-0.000,,,
P_si0,5.0,0.000,,-0.000,,,
P_si0,7.0,0.000,,0.000,,,
P_si0,9.0,0.000,,-0.000,,,
P_si0,12.0,0.000,,0.000,,,
P_serum,0.0,0.025,0.025,0.000,133.024,9.462,0.958
P_serum,0.5,86.686,86.686,91.678,,,
P_serum,1.0,133.523,133.523,126.859,,,
P_serum,1.5,112.221,112.221,132.230,,,
P_serum,2.0,144.151,144.151,124.877,,,
P_serum,2.5,108.814,108.814,113.440,,,
P_serum,3.0,92.941,92.941,101.889,,,
P_serum,5.0,86.862,86.862,72.501,,,
P_serum,7.0,61.394,61.394,61.936,,,
P_serum,9.0,66.481,66.481,56.445,,,
P_serum,12.0,34.868,34.868,49.475,,,
P_urine,0.0,0.013,,0.000,307.823,14.567,0.550
P_urine,0.5,NaN,,0.975,,,
P_urine,1.0,NaN,,3.107,,,
P_urine,1.5,NaN,,5.587,,,
P_urine,2.0,NaN,,8.028,,,
P_urine,2.5,NaN,,10.283,,,
P_urine,3.0,3.013,,12.316,,,
P_urine,5.0,9.053,,18.734,,,
P_urine,7.0,8.060,,23.755,,,
P_urine,9.0,5.813,,28.220,,,
P_urine,12.0,3.920,,34.223,,,
M1_si1,0.0,0.013,0.013,0.000,58.333,6.659,0.920
M1_si1,0.5,NaN,NaN,0.000,,,
M1_si1,1.0,NaN,NaN,0.000,,,
M1_si1,1.5,NaN,NaN,0.000,,,
M1_si1,2.0,NaN,NaN,0.000,,,
M1_si1,2.5,NaN,NaN,0.000,,,
M1_si1,3.0,3.454,3.454,0.000,,,
M1_si1,5.0,8.709,8.709,0.000,,,
M1_si1,7.0,10.908,10.908,0.000,,,
M1_si1,9.0,9.134,9.134,0.001,,,
M1_si1,12.0,7.736,7.736,0.001,,,
M1_si2,0.0,0.000,0.000,0.000,0.003,0.047,0.930
M1_si2,0.5,NaN,NaN,0.000,,,
M1_si2,1.0,NaN,NaN,0.000,,,
M1_si2,1.5,NaN,NaN,0.000,,,
M1_si2,2.0,NaN,NaN,0.000,,,
M1_si2,2.5,NaN,NaN,0.000,,,
M1_si2,3.0,0.016,0.016,0.000,,,
M1_si2,5.0,0.042,0.042,0.000,,,
M1_si2,7.0,0.069,0.069,0.000,,,
M1_si2,9.0,0.085,0.085,0.000,,,
M1_si2,12.0,0.068,0.068,0.000,,,
M1_si3,0.0,0.002,0.002,0.000,0.300,0.349,0.947
M1_si3,0.5,NaN,NaN,0.001,,,
M1_si3,1.0,NaN,NaN,0.017,,,
M1_si3,1.5,NaN,NaN,0.065,,,
M1_si3,2.0,NaN,NaN,0.158,,,
M1_si3,2.5,NaN,NaN,0.299,,,
M1_si3,3.0,0.041,0.041,0.480,,,
M1_si3,5.0,0.164,0.164,1.401,,,
M1_si3,7.0,2.461,2.461,2.231,,,
M1_si3,9.0,2.837,2.837,2.808,,,
M1_si3,12.0,3.532,3.532,3.377,,,
M1_serum,0.0,0.000,0.000,0.000,0.000,0.016,0.830
M1_serum,0.5,0.029,0.029,0.012,,,
M1_serum,1.0,0.068,0.068,0.035,,,
M1_serum,1.5,0.061,0.061,0.057,,,
M1_serum,2.0,0.091,0.091,0.074,,,
M1_serum,2.5,0.100,0.100,0.085,,,
M1_serum,3.0,0.053,0.053,0.092,,,
M1_serum,5.0,0.069,0.069,0.094,,,
M1_serum,7.0,0.100,0.100,0.091,,,
M1_serum,9.0,0.112,0.112,0.094,,,
M1_serum,12.0,0.100,0.100,0.103,,,
M3_serum,0.0,0.001,0.001,0.000,0.002,0.026,0.840
M3_serum,0.5,0.007,0.007,0.001,,,
M3_serum,1.0,0.019,0.019,0.007,,,
M3_serum,1.5,0.022,0.022,0.019,,,
M3_serum,2.0,0.036,0.036,0.034,,,
M3_serum,2.5,0.046,0.046,0.052,,,
M3_serum,3.0,0.187,0.187,0.070,,,
M3_serum,5.0,0.169,0.169,0.128,,,
M3_serum,7.0,0.176,0.176,0.161,,,
M3_serum,9.0,0.162,0.162,0.182,,,
M3_serum,12.0,0.145,0.145,0.208,,,
M1_liver,0.0,0.000,,0.000,NaN,NaN,NaN
M1_liver,0.5,0.000,,0.008,,,
M1_liver,1.0,0.000,,0.051,,,
M1_liver,1.5,0.000,,0.128,,,
M1_liver,2.0,0.000,,0.228,,,
M1_liver,2.5,0.000,,0.335,,,
M1_liver,3.0,0.000,,0.438,,,
M1_liver,5.0,0.000,,0.724,,,
M1_liver,7.0,0.000,,0.832,,,
M1_liver,9.0,0.000,,0.883,,,
M1_liver,12.0,0.000,,0.962,,,
M1_bile,0.0,0.000,,0.000,NaN,NaN,NaN
M1_bile,0.5,0.000,,0.000,,,
M1_bile,1.0,0.000,,0.000,,,
M1_bile,1.5,0.000,,0.000,,,
M1_bile,2.0,0.000,,0.000,,,
M1_bile,2.5,0.000,,0.000,,,
M1_bile,3.0,0.000,,0.000,,,
M1_bile,5.0,0.000,,0.000,,,
M1_bile,7.0,0.000,,0.000,,,
M1_bile,9.0,0.000,,0.000,,,
M1_bile,12.0,0.000,,0.000,,,
M1_cecum,0.0,0.002,0.002,0.000,1.465,0.946,0.951
M1_cecum,0.5,NaN,NaN,0.000,,,
M1_cecum,1.0,NaN,NaN,0.003,,,
M1_cecum,1.5,NaN,NaN,0.020,,,
M1_cecum,2.0,NaN,NaN,0.067,,,
M1_cecum,2.5,NaN,NaN,0.161,,,
M1_cecum,3.0,0.402,0.402,0.316,,,
M1_cecum,5.0,0.765,0.765,1.615,,,
M1_cecum,7.0,1.579,1.579,3.659,,,
M1_cecum,9.0,4.774,4.774,5.795,,,
M1_cecum,12.0,10.108,10.108,8.468,,,
M3_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
M3_cecum,0.5,0.000,,0.000,,,
M3_cecum,1.0,0.000,,0.000,,,
M3_cecum,1.5,0.000,,0.000,,,
M3_cecum,2.0,0.000,,0.000,,,
M3_cecum,2.5,0.000,,0.000,,,
M3_cecum,3.0,0.000,,0.000,,,
M3_cecum,5.0,0.000,,0.000,,,
M3_cecum,7.0,0.000,,0.000,,,
M3_cecum,9.0,0.000,,0.000,,,
M3_cecum,12.0,0.000,,0.000,,,
M1_colon,0.0,0.000,0.000,0.000,8.982,1.853,0.924
M1_colon,0.5,NaN,NaN,0.000,,,
M1_colon,1.0,NaN,NaN,0.000,,,
M1_colon,1.5,NaN,NaN,0.000,,,
M1_colon,2.0,NaN,NaN,0.000,,,
