Metabolite;Volume;Time;GNMUT mice BRV data;Used for fitting
P_si;0.3;0;0;
P_si;0.3;0.5;0;
P_si;0.3;1;0;
P_si;0.3;1.5;0;
P_si;0.3;2;0;
P_si;0.3;3;0;
P_si;0.3;5;0;
P_si;0.3;7;0;
P_si;0.3;9;0;
P_si0;0.3;0;0;
P_si0;0.3;0.5;0;
P_si0;0.3;1;0;
P_si0;0.3;1.5;0;
P_si0;0.3;2;0;
P_si0;0.3;3;0;
P_si0;0.3;5;0;
P_si0;0.3;7;0;
P_si0;0.3;9;0;
P_si1;0.3;0;0;
P_si1;0.3;0.5;NaN;
P_si1;0.3;1;NaN;
P_si1;0.3;1.5;NaN;
P_si1;0.3;2;NaN;
P_si1;0.3;3;0.359;
P_si1;0.3;5;0.071;
P_si1;0.3;7;0.06;
P_si1;0.3;9;0.004;
P_si2;0.3;0;0;
P_si2;0.3;0.5;NaN;
P_si2;0.3;1;NaN;
P_si2;0.3;1.5;NaN;
P_si2;0.3;2;NaN;
P_si2;0.3;3;1.009;
P_si2;0.3;5;0.173;
P_si2;0.3;7;0.063;
P_si2;0.3;9;0.004;
P_si3;0.3;0;0;
P_si3;0.3;0.5;NaN;
P_si3;0.3;1;NaN;
P_si3;0.3;1.5;NaN;
P_si3;0.3;2;NaN;
P_si3;0.3;3;1.204;
P_si3;0.3;5;0.225;
P_si3;0.3;7;0.097;
P_si3;0.3;9;0.007;
P_serum;8;0;0;
P_serum;8;0.5;0.196;
P_serum;8;1;0.118;
P_serum;8;1.5;0.087;
P_serum;8;2;0.065;
P_serum;8;3;0.041;
P_serum;8;5;0.006;
P_serum;8;7;0.004;
P_serum;8;9;NaN;
M_serum;8;0;0;
M_serum;8;0.5;0.069;
M_serum;8;1;0.062;
M_serum;8;1.5;0.059;
M_serum;8;2;0.068;
M_serum;8;3;0.09;
M_serum;8;5;0.058;
M_serum;8;7;0.043;
M_serum;8;9;0.017;
P_cecum;3;0;0;0
P_cecum;3;0.5;NaN;NaN
P_cecum;3;1;NaN;NaN
P_cecum;3;1.5;NaN;NaN
P_cecum;3;2;NaN;NaN
P_cecum;3;3;0.001;0.001
P_cecum;3;5;0.001;0.001
P_cecum;3;7;0.001;0.001
P_cecum;3;9;0;0
M_cecum;3;0;0;0
M_cecum;3;0.5;NaN;NaN
M_cecum;3;1;NaN;NaN
M_cecum;3;1.5;NaN;NaN
M_cecum;3;2;NaN;NaN
M_cecum;3;3;0.025;0.025
M_cecum;3;5;0.026;0.026
M_cecum;3;7;0.018;0.018
M_cecum;3;9;0.009;0.009
P_colon;3;0;0;0
P_colon;3;0.5;NaN;NaN
P_colon;3;1;NaN;NaN
P_colon;3;1.5;NaN;NaN
P_colon;3;2;NaN;NaN
P_colon;3;3;0.003;0.003
P_colon;3;5;0.001;0.001
P_colon;3;7;0.001;0.001
P_colon;3;9;0;0
M_colon;3;0;0;0
M_colon;3;0.5;NaN;NaN
M_colon;3;1;NaN;NaN
M_colon;3;1.5;NaN;NaN
M_colon;3;2;NaN;NaN
M_colon;3;3;0.037;0.037
M_colon;3;5;0.025;0.025
M_colon;3;7;0.02;0.02
M_colon;3;9;0.007;0.007
P_feces;3;0;0;0
P_feces;3;0.5;NaN;NaN
P_feces;3;1;NaN;NaN
P_feces;3;1.5;NaN;NaN
P_feces;3;2;NaN;NaN
P_feces;3;3;0.001;0.001
P_feces;3;5;0.001;0.001
P_feces;3;7;0.002;0.002
P_feces;3;9;0.001;0.001
M_feces;3;0;0;0
M_feces;3;0.5;NaN;NaN
M_feces;3;1;NaN;NaN
M_feces;3;1.5;NaN;NaN
M_feces;3;2;NaN;NaN
M_feces;3;3;0.029;0.029
M_feces;3;5;0.023;0.023
M_feces;3;7;0.035;0.035
M_feces;3;9;0.013;0.013
