Metabolite;Volume;Time;CV mice CLZ data;Used for fitting
P_si1;0.3;0;0;
P_si1;0.3;0.5;NaN;
P_si1;0.3;1;NaN;
P_si1;0.3;1.5;NaN;
P_si1;0.3;2;NaN;
P_si1;0.3;2.5;NaN;
P_si1;0.3;3;4.852;
P_si1;0.3;5;0.814;
P_si1;0.3;7;6.491;
P_si1;0.3;9;1.139;
P_si1;0.3;12;0.189;
P_si2;0.3;0;0;
P_si2;0.3;0.5;NaN;
P_si2;0.3;1;NaN;
P_si2;0.3;1.5;NaN;
P_si2;0.3;2;NaN;
P_si2;0.3;2.5;NaN;
P_si2;0.3;3;3.413;
P_si2;0.3;5;1.287;
P_si2;0.3;7;0.784;
P_si2;0.3;9;0.804;
P_si2;0.3;12;0.407;
P_si3;0.3;0;0.005;
P_si3;0.3;0.5;NaN;
P_si3;0.3;1;NaN;
P_si3;0.3;1.5;NaN;
P_si3;0.3;2;NaN;
P_si3;0.3;2.5;NaN;
P_si3;0.3;3;2.677;
P_si3;0.3;5;0.395;
P_si3;0.3;7;0.198;
P_si3;0.3;9;0.293;
P_si3;0.3;12;0.337;
P_serum;30;0;0;
P_serum;30;0.5;0.546;
P_serum;30;1;1.343;
P_serum;30;1.5;1.251;
P_serum;30;2;1.61;
P_serum;30;2.5;1.199;
P_serum;30;3;1.052;
P_serum;30;5;0.707;
P_serum;30;7;0.635;
P_serum;30;9;0.522;
P_serum;30;12;0.175;
M_serum;30;0;0.01;
M_serum;30;0.5;NaN;
M_serum;30;1;NaN;
M_serum;30;1.5;NaN;
M_serum;30;2;NaN;
M_serum;30;2.5;NaN;
M_serum;30;3;0.328;
M_serum;30;5;0.198;
M_serum;30;7;0.154;
M_serum;30;9;0.193;
M_serum;30;12;0.077;
P_cecum;0.25;0;0.001;0.001
P_cecum;0.25;0.5;NaN;NaN
P_cecum;0.25;1;NaN;NaN
P_cecum;0.25;1.5;NaN;NaN
P_cecum;0.25;2;NaN;NaN
P_cecum;0.25;2.5;NaN;NaN
P_cecum;0.25;3;0.621;0.621
P_cecum;0.25;5;0.036;0.036
P_cecum;0.25;7;0.053;0.053
P_cecum;0.25;9;0.063;0.063
P_cecum;0.25;12;0.017;0.017
M_cecum;0.25;0;0.075;0.075
M_cecum;0.25;0.5;NaN;NaN
M_cecum;0.25;1;NaN;NaN
M_cecum;0.25;1.5;NaN;NaN
M_cecum;0.25;2;NaN;NaN
M_cecum;0.25;2.5;NaN;NaN
M_cecum;0.25;3;4.164;4.164
M_cecum;0.25;5;3.944;3.944
M_cecum;0.25;7;2.865;2.865
M_cecum;0.25;9;3.878;3.878
M_cecum;0.25;12;1.573;1.573
P_colon;0.25;0;0;0
P_colon;0.25;0.5;NaN;NaN
P_colon;0.25;1;NaN;NaN
P_colon;0.25;1.5;NaN;NaN
P_colon;0.25;2;NaN;NaN
P_colon;0.25;2.5;NaN;NaN
P_colon;0.25;3;0.311;0.311
P_colon;0.25;5;0.115;0.115
P_colon;0.25;7;0.031;0.031
P_colon;0.25;9;0.135;0.135
P_colon;0.25;12;0.018;0.018
M_colon;0.25;0;0.063;0.063
M_colon;0.25;0.5;NaN;NaN
M_colon;0.25;1;NaN;NaN
M_colon;0.25;1.5;NaN;NaN
M_colon;0.25;2;NaN;NaN
M_colon;0.25;2.5;NaN;NaN
M_colon;0.25;3;2.983;2.983
M_colon;0.25;5;4.045;4.045
M_colon;0.25;7;4.623;4.623
M_colon;0.25;9;4.491;4.491
M_colon;0.25;12;1.104;1.104
P_feces;0.25;0;0;0
P_feces;0.25;0.5;NaN;NaN
P_feces;0.25;1;NaN;NaN
P_feces;0.25;1.5;NaN;NaN
P_feces;0.25;2;NaN;NaN
P_feces;0.25;2.5;NaN;NaN
P_feces;0.25;3;NaN;NaN
P_feces;0.25;5;0.154;0.154
P_feces;0.25;7;0.012;0.012
P_feces;0.25;9;0.011;0.011
P_feces;0.25;12;0.075;0.075
M_feces;0.25;0;0.035;0.035
M_feces;0.25;0.5;NaN;NaN
M_feces;0.25;1;NaN;NaN
M_feces;0.25;1.5;NaN;NaN
M_feces;0.25;2;NaN;NaN
M_feces;0.25;2.5;NaN;NaN
M_feces;0.25;3;NaN;NaN
M_feces;0.25;5;4.975;4.975
M_feces;0.25;7;2.226;2.226
M_feces;0.25;9;2.953;2.953
M_feces;0.25;12;4.39;4.39
