Metabolite;Volume;Time;CV mice CLZ data;Used for fitting
M2_cecum;0.25;0;0.074877115269332203406627002095774514600634574890136718750000;0.074877115269332203406627002095774514600634574890136718750000
M2_cecum;0.25;0.5;NaN;NaN
M2_cecum;0.25;1;NaN;NaN
M2_cecum;0.25;1.5;NaN;NaN
M2_cecum;0.25;2;NaN;NaN
M2_cecum;0.25;2.5;NaN;NaN
M2_cecum;0.25;3;4.163712297509690962726836005458608269691467285156250000000000;4.163712297509690962726836005458608269691467285156250000000000
M2_cecum;0.25;5;3.944476746216590612448271713219583034515380859375000000000000;3.944476746216590612448271713219583034515380859375000000000000
M2_cecum;0.25;7;2.865206201831830945536694343900308012962341308593750000000000;2.865206201831830945536694343900308012962341308593750000000000
M2_cecum;0.25;9;3.877581480649703316032628208631649613380432128906250000000000;3.877581480649703316032628208631649613380432128906250000000000
M2_cecum;0.25;12;1.573378821039312924767727963626384735107421875000000000000000;1.573378821039312924767727963626384735107421875000000000000000
M2_colon;0.25;0;0.062546024801518704250291591506538679823279380798339843750000;0.062546024801518704250291591506538679823279380798339843750000
M2_colon;0.25;0.5;NaN;NaN
M2_colon;0.25;1;NaN;NaN
M2_colon;0.25;1.5;NaN;NaN
M2_colon;0.25;2;NaN;NaN
M2_colon;0.25;2.5;NaN;NaN
M2_colon;0.25;3;2.983290888558977282940531949861906468868255615234375000000000;2.983290888558977282940531949861906468868255615234375000000000
M2_colon;0.25;5;4.044607851813946552965717273764312267303466796875000000000000;4.044607851813946552965717273764312267303466796875000000000000
M2_colon;0.25;7;4.623382401097242855314561893464997410774230957031250000000000;4.623382401097242855314561893464997410774230957031250000000000
M2_colon;0.25;9;4.491307182936532527151030080858618021011352539062500000000000;4.491307182936532527151030080858618021011352539062500000000000
M2_colon;0.25;12;1.103513632779225650537568981235381215810775756835937500000000;1.103513632779225650537568981235381215810775756835937500000000
M2_feces;0.25;0;0.065398294730061576340851559052680386230349540710449218750000;0.065398294730061576340851559052680386230349540710449218750000
M2_feces;0.25;0.5;NaN;NaN
M2_feces;0.25;1;NaN;NaN
M2_feces;0.25;1.5;NaN;NaN
M2_feces;0.25;2;NaN;NaN
M2_feces;0.25;2.5;NaN;NaN
M2_feces;0.25;3;NaN;NaN
M2_feces;0.25;5;4.626417053912374122148776223184540867805480957031250000000000;4.626417053912374122148776223184540867805480957031250000000000
M2_feces;0.25;7;3.477189775812226102402746619191020727157592773437500000000000;3.477189775812226102402746619191020727157592773437500000000000
M2_feces;0.25;9;4.543265733035717346410820027813315391540527343750000000000000;4.543265733035717346410820027813315391540527343750000000000000
M2_feces;0.25;12;1.866029575478171498303936459706164896488189697265625000000000;1.866029575478171498303936459706164896488189697265625000000000
P_cecum;0.25;0;0.000528349326803798438612069787723157787695527076721191406250;0.000528349326803798438612069787723157787695527076721191406250
P_cecum;0.25;0.5;NaN;NaN
P_cecum;0.25;1;NaN;NaN
P_cecum;0.25;1.5;NaN;NaN
P_cecum;0.25;2;NaN;NaN
P_cecum;0.25;2.5;NaN;NaN
P_cecum;0.25;3;0.620944276141423334713920212379889562726020812988281250000000;0.620944276141423334713920212379889562726020812988281250000000
P_cecum;0.25;5;0.035609852708892261730078132586641004309058189392089843750000;0.035609852708892261730078132586641004309058189392089843750000
P_cecum;0.25;7;0.052874783451251648747071243406026042066514492034912109375000;0.052874783451251648747071243406026042066514492034912109375000
P_cecum;0.25;9;0.062885288107468656493281855546229053288698196411132812500000;0.062885288107468656493281855546229053288698196411132812500000
P_cecum;0.25;12;0.016971531465983853703693995385037851519882678985595703125000;0.016971531465983853703693995385037851519882678985595703125000
P_colon;0.25;0;0.000170773263613709325127107407915616477112052962183952331543;0.000170773263613709325127107407915616477112052962183952331543
P_colon;0.25;0.5;NaN;NaN
P_colon;0.25;1;NaN;NaN
P_colon;0.25;1.5;NaN;NaN
P_colon;0.25;2;NaN;NaN
P_colon;0.25;2.5;NaN;NaN
P_colon;0.25;3;0.310937075209046787094280261953826993703842163085937500000000;0.310937075209046787094280261953826993703842163085937500000000
P_colon;0.25;5;0.114844352606930488747138952021487057209014892578125000000000;0.114844352606930488747138952021487057209014892578125000000000
P_colon;0.25;7;0.030842212850066903079282454314125061500817537307739257812500;0.030842212850066903079282454314125061500817537307739257812500
P_colon;0.25;9;0.135020830775552519442683774286706466227769851684570312500000;0.135020830775552519442683774286706466227769851684570312500000
P_colon;0.25;12;0.017684703013538471960686138118035160005092620849609375000000;0.017684703013538471960686138118035160005092620849609375000000
P_feces;0.25;0;0.000388794288656542385597403299613006311119534075260162353516;0.000388794288656542385597403299613006311119534075260162353516
P_feces;0.25;0.5;NaN;NaN
P_feces;0.25;1;NaN;NaN
P_feces;0.25;1.5;NaN;NaN
P_feces;0.25;2;NaN;NaN
P_feces;0.25;2.5;NaN;NaN
P_feces;0.25;3;NaN;NaN
P_feces;0.25;5;0.103587959305961804790108260476699797436594963073730468750000;0.103587959305961804790108260476699797436594963073730468750000
P_feces;0.25;7;0.111391832022414510872110326999973040074110031127929687500000;0.111391832022414510872110326999973040074110031127929687500000
P_feces;0.25;9;0.080128563603690278194235929731803480535745620727539062500000;0.080128563603690278194235929731803480535745620727539062500000
P_feces;0.25;12;0.057119689316627426933781208617801894433796405792236328125000;0.057119689316627426933781208617801894433796405792236328125000
M3_cecum;0.25;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M3_cecum;0.25;0.5;NaN;NaN
M3_cecum;0.25;1;NaN;NaN
M3_cecum;0.25;1.5;NaN;NaN
M3_cecum;0.25;2;NaN;NaN
M3_cecum;0.25;2.5;NaN;NaN
M3_cecum;0.25;3;0.765077578426169524483668737957486882805824279785156250000000;0.765077578426169524483668737957486882805824279785156250000000
M3_cecum;0.25;5;1.925148414210981373528852600429672747850418090820312500000000;1.925148414210981373528852600429672747850418090820312500000000
M3_cecum;0.25;7;2.728211974003357465079488974879495799541473388671875000000000;2.728211974003357465079488974879495799541473388671875000000000
M3_cecum;0.25;9;4.985209103200919145137959276326000690460205078125000000000000;4.985209103200919145137959276326000690460205078125000000000000
M3_cecum;0.25;12;3.211425389438331112756941365660168230533599853515625000000000;3.211425389438331112756941365660168230533599853515625000000000
M3_colon;0.25;0;0.000000000000000000000000000000000000000000000000000000000000;0.000000000000000000000000000000000000000000000000000000000000
M3_colon;0.25;0.5;NaN;NaN
M3_colon;0.25;1;NaN;NaN
M3_colon;0.25;1.5;NaN;NaN
M3_colon;0.25;2;NaN;NaN
M3_colon;0.25;2.5;NaN;NaN
M3_colon;0.25;3;0.646769790810459155316891610709717497229576110839843750000000;0.646769790810459155316891610709717497229576110839843750000000
M3_colon;0.25;5;2.178366810231611605530588349211029708385467529296875000000000;2.178366810231611605530588349211029708385467529296875000000000
M3_colon;0.25;7;1.170214901853827038635813551081810146570205688476562500000000;1.170214901853827038635813551081810146570205688476562500000000
M3_colon;0.25;9;4.051018284555222059850621008081361651420593261718750000000000;4.051018284555222059850621008081361651420593261718750000000000
M3_colon;0.25;12;3.715942335335584267852482298621907830238342285156250000000000;3.715942335335584267852482298621907830238342285156250000000000
M3_feces;0.25;0;0.002263777238520232881757721088433754630386829376220703125000;0.002263777238520232881757721088433754630386829376220703125000
M3_feces;0.25;0.5;NaN;NaN
M3_feces;0.25;1;NaN;NaN
M3_feces;0.25;1.5;NaN;NaN
M3_feces;0.25;2;NaN;NaN
M3_feces;0.25;2.5;NaN;NaN
M3_feces;0.25;3;NaN;NaN
M3_feces;0.25;5;2.496594139399147316282778774620965123176574707031250000000000;2.496594139399147316282778774620965123176574707031250000000000
M3_feces;0.25;7;2.395335930082900688375957543030381202697753906250000000000000;2.395335930082900688375957543030381202697753906250000000000000
M3_feces;0.25;9;8.168216784227659843509172787889838218688964843750000000000000;8.168216784227659843509172787889838218688964843750000000000000
M3_feces;0.25;12;6.712411220739223693954045302234590053558349609375000000000000;6.712411220739223693954045302234590053558349609375000000000000
