Parameter,Initial value,Model estimate,Standard Error
k_aSI_P,0.891,1.696,0.259
k_e_P,0.959,1.973,0.183
k_cH,0.547,0.374,0.075
k_e_M,0.480,0.480,0.000
k_p1,0.139,1.141,0.132
k_p2,0.149,1.780,0.689
k_p3,0.254,1.182,0.319
k_p4,0.258,0.583,0.101
k_p5,0.841,0.122,0.032
k_aLI_P,0.000,0.000,0.000
k_cB,0.000,0.000,0.000
k_aLI1_M,0.000,0.000,0.000
k_aLI2_M,0.000,0.000,0.000
D,7.000,7.000,0.000
F,0.694,0.694,0.000
Vsi,0.300,0.300,0.000
Vserum,8.000,8.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,3.000,3.000,0.000
VcolonCVR,3.000,3.000,0.000
VfecesCVR,3.000,3.000,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,6.935,,,
P_si,1.0,0.000,,2.970,,,
P_si,1.5,0.000,,1.272,,,
P_si,2.0,0.000,,0.545,,,
P_si,3.0,0.000,,0.100,,,
P_si,5.0,0.000,,0.003,,,
P_si,7.0,0.000,,0.000,,,
P_si,9.0,0.000,,0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,4.035,,,
P_si0,1.0,0.000,,2.280,,,
P_si0,1.5,0.000,,1.289,,,
P_si0,2.0,0.000,,0.728,,,
P_si0,3.0,0.000,,0.233,,,
P_si0,5.0,0.000,,0.024,,,
P_si0,7.0,0.000,,0.002,,,
P_si0,9.0,0.000,,0.000,,,
P_si1,0.0,0.000,0.000,0.000,0.033,0.119,0.950
P_si1,0.5,NaN,NaN,2.303,,,
P_si1,1.0,NaN,NaN,2.603,,,
P_si1,1.5,NaN,NaN,2.206,,,
P_si1,2.0,NaN,NaN,1.662,,,
P_si1,3.0,0.414,0.414,0.796,,,
P_si1,5.0,0.041,0.041,0.135,,,
P_si1,7.0,0.125,0.125,0.019,,,
P_si1,9.0,0.013,0.013,0.003,,,
P_si2,0.0,0.000,0.000,0.000,0.002,0.032,0.997
P_si2,0.5,NaN,NaN,0.657,,,
P_si2,1.0,NaN,NaN,1.485,,,
P_si2,1.5,NaN,NaN,1.889,,,
P_si2,2.0,NaN,NaN,1.898,,,
P_si2,3.0,1.328,1.328,1.364,,,
P_si2,5.0,0.355,0.355,0.386,,,
P_si2,7.0,0.161,0.161,0.077,,,
P_si2,9.0,0.022,0.022,0.013,,,
P_si3,0.0,0.000,0.000,0.000,0.013,0.088,0.965
P_si3,0.5,NaN,NaN,0.116,,,
P_si3,1.0,NaN,NaN,0.485,,,
P_si3,1.5,NaN,NaN,0.862,,,
P_si3,2.0,NaN,NaN,1.080,,,
P_si3,3.0,0.906,0.906,1.026,,,
P_si3,5.0,0.212,0.212,0.388,,,
P_si3,7.0,0.232,0.232,0.090,,,
P_si3,9.0,0.016,0.016,0.017,,,
P_serum,0.0,0.000,0.000,0.000,0.000,0.015,0.969
P_serum,0.5,0.204,0.204,0.188,,,
P_serum,1.0,0.109,0.109,0.139,,,
P_serum,1.5,0.083,0.083,0.077,,,
P_serum,2.0,0.065,0.065,0.039,,,
P_serum,3.0,0.037,0.037,0.008,,,
P_serum,5.0,0.008,0.008,0.000,,,
P_serum,7.0,0.016,0.016,0.000,,,
P_serum,9.0,0.003,0.003,0.000,,,
M_serum,0.0,0.000,0.000,0.000,0.000,0.006,0.885
M_serum,0.5,0.049,0.049,0.023,,,
M_serum,1.0,0.045,0.045,0.046,,,
M_serum,1.5,0.058,0.058,0.054,,,
M_serum,2.0,0.041,0.041,0.051,,,
M_serum,3.0,0.030,0.030,0.037,,,
M_serum,5.0,0.016,0.016,0.015,,,
M_serum,7.0,0.011,0.011,0.006,,,
M_serum,9.0,0.002,0.002,0.002,,,
P_cecum,0.0,0.000,0.000,0.000,0.006,0.066,0.228
P_cecum,0.5,NaN,NaN,0.003,,,
P_cecum,1.0,NaN,NaN,0.022,,,
P_cecum,1.5,NaN,NaN,0.059,,,
P_cecum,2.0,NaN,NaN,0.100,,,
P_cecum,3.0,0.060,0.060,0.144,,,
P_cecum,5.0,0.155,0.155,0.093,,,
P_cecum,7.0,0.121,0.121,0.030,,,
P_cecum,9.0,0.102,0.102,0.007,,,
P_colon,0.0,0.000,0.000,0.000,0.003,0.041,0.829
P_colon,0.5,NaN,NaN,0.000,,,
P_colon,1.0,NaN,NaN,0.006,,,
P_colon,1.5,NaN,NaN,0.025,,,
P_colon,2.0,NaN,NaN,0.060,,,
P_colon,3.0,0.100,0.100,0.150,,,
P_colon,5.0,0.231,0.231,0.216,,,
P_colon,7.0,0.203,0.203,0.140,,,
P_colon,9.0,0.143,0.143,0.064,,,
P_feces,0.0,0.000,0.000,0.000,0.005,0.062,0.927
P_feces,0.5,NaN,NaN,0.000,,,
P_feces,1.0,NaN,NaN,0.001,,,
P_feces,1.5,NaN,NaN,0.005,,,
P_feces,2.0,NaN,NaN,0.016,,,
P_feces,3.0,0.132,0.132,0.073,,,
P_feces,5.0,0.324,0.324,0.265,,,
P_feces,7.0,0.503,0.503,0.395,,,
P_feces,9.0,0.327,0.327,0.410,,,
M_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
M_cecum,0.5,NaN,,0.000,,,
M_cecum,1.0,NaN,,0.000,,,
M_cecum,1.5,NaN,,0.000,,,
M_cecum,2.0,NaN,,0.000,,,
M_cecum,3.0,0.008,,0.000,,,
M_cecum,5.0,0.006,,0.000,,,
M_cecum,7.0,0.005,,0.000,,,
M_cecum,9.0,0.001,,0.000,,,
M_colon,0.0,0.000,,0.000,NaN,NaN,NaN
M_colon,0.5,NaN,,0.000,,,
M_colon,1.0,NaN,,0.000,,,
M_colon,1.5,NaN,,0.000,,,
M_colon,2.0,NaN,,0.000,,,
M_colon,3.0,0.008,,0.000,,,
M_colon,5.0,0.006,,0.000,,,
M_colon,7.0,0.004,,0.000,,,
M_colon,9.0,0.002,,0.000,,,
M_feces,0.0,0.000,,0.000,NaN,NaN,NaN
M_feces,0.5,NaN,,0.000,,,
M_feces,1.0,NaN,,0.000,,,
M_feces,1.5,NaN,,0.000,,,
M_feces,2.0,NaN,,0.000,,,
M_feces,3.0,0.010,,0.000,,,
M_feces,5.0,0.006,,0.000,,,
M_feces,7.0,0.005,,0.000,,,
M_feces,9.0,0.002,,0.000,,,
M_serumbact,0.0,0.000,,0.000,NaN,NaN,NaN
M_serumbact,0.5,0.000,,0.000,,,
M_serumbact,1.0,0.000,,0.000,,,
M_serumbact,1.5,0.000,,0.000,,,
M_serumbact,2.0,0.000,,0.000,,,
M_serumbact,3.0,0.000,,0.000,,,
M_serumbact,5.0,0.000,,0.000,,,
M_serumbact,7.0,0.000,,0.000,,,
M_serumbact,9.0,0.000,,0.000,,,
Host contribution to M_serum = 0.20
Bacterial contribution to M_serum = 0.00
Bacterial fraction in contribution to M_serum = 0.00
