Parameter,Initial value,Model estimate,Standard Error
k_aSI_P,1.301,1.301,0.000
k_e_P,0.153,0.153,0.000
k_cH,0.029,0.029,0.000
k_e_M,0.210,0.210,0.000
k_p1,0.398,0.398,0.000
k_p2,25.170,25.170,0.000
k_p3,2.924,2.924,0.000
k_p4,4.098,4.098,0.000
k_p5,3.214,3.214,0.000
k_aLI_P,0.000,0.000,0.000
k_cB,0.787,118.978,16.943
k_aLI1_M,0.832,0.000,0.546
k_aLI2_M,0.155,0.841,0.375
D,100.000,100.000,0.000
F,0.556,0.556,0.000
Vsi,0.300,0.300,0.000
Vserum,30.000,30.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,0.250,0.250,0.000
VcolonCVR,0.250,0.250,0.000
VfecesCVR,0.250,0.250,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,96.725,,,
P_si,1.0,0.000,,50.484,,,
P_si,1.5,0.000,,26.346,,,
P_si,2.0,0.000,,13.745,,,
P_si,2.5,0.000,,7.171,,,
P_si,3.0,0.000,,3.740,,,
P_si,5.0,0.000,,0.279,,,
P_si,7.0,0.000,,0.020,,,
P_si,9.0,0.000,,0.001,,,
P_si,12.0,0.000,,0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,121.309,,,
P_si0,1.0,0.000,,99.431,,,
P_si0,1.5,0.000,,81.499,,,
P_si0,2.0,0.000,,66.801,,,
P_si0,2.5,0.000,,54.753,,,
P_si0,3.0,0.000,,44.879,,,
P_si0,5.0,0.000,,20.256,,,
P_si0,7.0,0.000,,9.142,,,
P_si0,9.0,0.000,,4.125,,,
P_si0,12.0,0.000,,1.249,,,
P_si1,0.0,0.000,,0.000,751.456,21.093,0.572
P_si1,0.5,NaN,,24.125,,,
P_si1,1.0,NaN,,39.548,,,
P_si1,1.5,NaN,,48.624,,,
P_si1,2.0,NaN,,53.140,,,
P_si1,2.5,NaN,,54.446,,,
P_si1,3.0,4.852,,53.552,,,
P_si1,5.0,0.814,,40.285,,,
P_si1,7.0,6.491,,25.457,,,
P_si1,9.0,1.139,,14.775,,,
P_si1,12.0,0.189,,5.974,,,
P_si2,0.0,0.000,,0.000,727.940,23.575,0.555
P_si2,0.5,NaN,,2.399,,,
P_si2,1.0,NaN,,7.865,,,
P_si2,1.5,NaN,,14.505,,,
P_si2,2.0,NaN,,21.136,,,
P_si2,2.5,NaN,,27.069,,,
P_si2,3.0,3.413,,31.949,,,
P_si2,5.0,1.287,,40.058,,,
P_si2,7.0,0.784,,35.437,,,
P_si2,9.0,0.804,,26.442,,,
P_si2,12.0,0.407,,14.261,,,
P_si3,0.0,0.005,,0.000,0.827,0.504,0.315
P_si3,0.5,NaN,,0.033,,,
P_si3,1.0,NaN,,0.117,,,
P_si3,1.5,NaN,,0.221,,,
P_si3,2.0,NaN,,0.326,,,
P_si3,2.5,NaN,,0.421,,,
P_si3,3.0,2.677,,0.499,,,
P_si3,5.0,0.395,,0.633,,,
P_si3,7.0,0.198,,0.562,,,
P_si3,9.0,0.293,,0.421,,,
P_si3,12.0,0.337,,0.227,,,
P_serum,0.0,0.000,,0.000,0.023,0.126,0.950
P_serum,0.5,0.546,,0.843,,,
P_serum,1.0,1.343,,1.209,,,
P_serum,1.5,1.251,,1.334,,,
P_serum,2.0,1.610,,1.337,,,
P_serum,2.5,1.199,,1.284,,,
P_serum,3.0,1.052,,1.205,,,
P_serum,5.0,0.707,,0.864,,,
P_serum,7.0,0.635,,0.602,,,
P_serum,9.0,0.522,,0.419,,,
P_serum,12.0,0.175,,0.242,,,
M_serum,0.0,0.010,,0.000,0.015,0.089,0.644
M_serum,0.5,NaN,,0.007,,,
M_serum,1.0,NaN,,0.021,,,
M_serum,1.5,NaN,,0.036,,,
M_serum,2.0,NaN,,0.051,,,
M_serum,2.5,NaN,,0.065,,,
M_serum,3.0,0.328,,0.075,,,
M_serum,5.0,0.198,,0.098,,,
M_serum,7.0,0.154,,0.099,,,
M_serum,9.0,0.193,,0.089,,,
M_serum,12.0,0.077,,0.068,,,
P_cecum,0.0,0.001,0.001,0.000,0.045,0.131,0.293
P_cecum,0.5,NaN,NaN,0.008,,,
P_cecum,1.0,NaN,NaN,0.028,,,
P_cecum,1.5,NaN,NaN,0.054,,,
P_cecum,2.0,NaN,NaN,0.080,,,
P_cecum,2.5,NaN,NaN,0.104,,,
P_cecum,3.0,0.621,0.621,0.123,,,
P_cecum,5.0,0.036,0.036,0.157,,,
P_cecum,7.0,0.053,0.053,0.139,,,
P_cecum,9.0,0.063,0.063,0.104,,,
P_cecum,12.0,0.017,0.017,0.056,,,
P_colon,0.0,0.000,0.000,0.000,0.010,0.064,0.430
P_colon,0.5,NaN,NaN,0.002,,,
P_colon,1.0,NaN,NaN,0.013,,,
P_colon,1.5,NaN,NaN,0.030,,,
P_colon,2.0,NaN,NaN,0.048,,,
P_colon,2.5,NaN,NaN,0.066,,,
P_colon,3.0,0.311,0.311,0.081,,,
P_colon,5.0,0.115,0.115,0.111,,,
P_colon,7.0,0.031,0.031,0.102,,,
P_colon,9.0,0.135,0.135,0.078,,,
P_colon,12.0,0.018,0.018,0.043,,,
P_feces,0.0,0.000,0.000,0.000,0.005,0.049,0.437
P_feces,0.5,NaN,NaN,0.001,,,
P_feces,1.0,NaN,NaN,0.009,,,
P_feces,1.5,NaN,NaN,0.026,,,
P_feces,2.0,NaN,NaN,0.047,,,
P_feces,2.5,NaN,NaN,0.070,,,
P_feces,3.0,NaN,NaN,0.091,,,
P_feces,5.0,0.154,0.154,0.139,,,
P_feces,7.0,0.012,0.012,0.134,,,
P_feces,9.0,0.011,0.011,0.104,,,
P_feces,12.0,0.075,0.075,0.058,,,
M_cecum,0.0,0.075,0.075,0.000,0.724,0.675,0.880
M_cecum,0.5,NaN,NaN,0.101,,,
M_cecum,1.0,NaN,NaN,0.567,,,
M_cecum,1.5,NaN,NaN,1.292,,,
M_cecum,2.0,NaN,NaN,2.106,,,
M_cecum,2.5,NaN,NaN,2.890,,,
M_cecum,3.0,4.164,4.164,3.572,,,
M_cecum,5.0,3.944,3.944,4.915,,,
M_cecum,7.0,2.865,2.865,4.525,,,
M_cecum,9.0,3.878,3.878,3.452,,,
M_cecum,12.0,1.573,1.573,1.898,,,
M_colon,0.0,0.063,0.063,0.000,1.062,0.816,0.938
M_colon,0.5,NaN,NaN,0.026,,,
M_colon,1.0,NaN,NaN,0.240,,,
M_colon,1.5,NaN,NaN,0.673,,,
M_colon,2.0,NaN,NaN,1.223,,,
M_colon,2.5,NaN,NaN,1.792,,,
M_colon,3.0,2.983,2.983,2.313,,,
M_colon,5.0,4.045,4.045,3.461,,,
M_colon,7.0,4.623,4.623,3.298,,,
M_colon,9.0,4.491,4.491,2.563,,,
M_colon,12.0,1.104,1.104,1.432,,,
M_feces,0.0,0.035,0.035,0.000,2.179,1.139,0.623
M_feces,0.5,NaN,NaN,0.009,,,
M_feces,1.0,NaN,NaN,0.146,,,
M_feces,1.5,NaN,NaN,0.537,,,
M_feces,2.0,NaN,NaN,1.142,,,
M_feces,2.5,NaN,NaN,1.842,,,
M_feces,3.0,NaN,NaN,2.536,,,
M_feces,5.0,4.975,4.975,4.294,,,
M_feces,7.0,2.226,2.226,4.297,,,
M_feces,9.0,2.953,2.953,3.428,,,
M_feces,12.0,4.390,4.390,1.958,,,
M_serumbact,0.0,0.000,,0.000,NaN,NaN,NaN
M_serumbact,0.5,0.000,,0.000,,,
M_serumbact,1.0,0.000,,0.001,,,
M_serumbact,1.5,0.000,,0.004,,,
M_serumbact,2.0,0.000,,0.009,,,
M_serumbact,2.5,0.000,,0.017,,,
M_serumbact,3.0,0.000,,0.026,,,
M_serumbact,5.0,0.000,,0.068,,,
M_serumbact,7.0,0.000,,0.100,,,
M_serumbact,9.0,0.000,,0.111,,,
M_serumbact,12.0,0.000,,0.099,,,
Host contribution to M_serum = 0.97
Bacterial contribution to M_serum = 0.92
Bacterial fraction in contribution to M_serum = 0.48
