Parameter,Initial value,Model estimate,Standard Error
k_aSI_P,0.509,1.301,0.128
k_e_P,0.553,0.153,0.017
k_cH,0.313,0.029,0.013
k_e_M,0.210,0.210,0.000
k_p1,0.362,0.398,0.300
k_p2,0.749,25.170,176.255
k_p3,0.296,2.924,3.255
k_p4,0.802,4.098,6.141
k_p5,0.601,3.214,3.995
k_aLI_P,0.000,0.000,0.000
k_cB,0.000,0.000,0.000
k_aLI1_M,0.000,0.000,0.000
k_aLI2_M,0.000,0.000,0.000
D,100.000,100.000,0.000
F,0.556,0.556,0.000
Vsi,0.300,0.300,0.000
Vserum,30.000,30.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,0.250,0.250,0.000
VcolonCVR,0.250,0.250,0.000
VfecesCVR,0.250,0.250,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,96.725,,,
P_si,1.0,0.000,,50.481,,,
P_si,1.5,0.000,,26.346,,,
P_si,2.0,0.000,,13.753,,,
P_si,2.5,0.000,,7.184,,,
P_si,3.0,0.000,,3.739,,,
P_si,5.0,0.000,,0.279,,,
P_si,7.0,0.000,,0.021,,,
P_si,9.0,0.000,,0.002,,,
P_si,12.0,0.000,,0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,121.309,,,
P_si0,1.0,0.000,,99.431,,,
P_si0,1.5,0.000,,81.499,,,
P_si0,2.0,0.000,,66.801,,,
P_si0,2.5,0.000,,54.753,,,
P_si0,3.0,0.000,,44.879,,,
P_si0,5.0,0.000,,20.256,,,
P_si0,7.0,0.000,,9.143,,,
P_si0,9.0,0.000,,4.127,,,
P_si0,12.0,0.000,,1.250,,,
P_si1,0.0,0.000,,0.000,705.360,19.586,0.377
P_si1,0.5,NaN,,24.125,,,
P_si1,1.0,NaN,,39.549,,,
P_si1,1.5,NaN,,48.624,,,
P_si1,2.0,NaN,,53.140,,,
P_si1,2.5,NaN,,54.445,,,
P_si1,3.0,4.328,,53.552,,,
P_si1,5.0,5.230,,40.285,,,
P_si1,7.0,2.521,,25.456,,,
P_si1,9.0,8.823,,14.772,,,
P_si1,12.0,1.621,,5.973,,,
P_si2,0.0,0.000,,0.000,653.998,22.144,0.386
P_si2,0.5,NaN,,2.399,,,
P_si2,1.0,NaN,,7.865,,,
P_si2,1.5,NaN,,14.505,,,
P_si2,2.0,NaN,,21.136,,,
P_si2,2.5,NaN,,27.070,,,
P_si2,3.0,9.836,,31.949,,,
P_si2,5.0,1.913,,40.058,,,
P_si2,7.0,1.057,,35.438,,,
P_si2,9.0,1.530,,26.441,,,
P_si2,12.0,0.940,,14.257,,,
P_si3,0.0,0.000,,0.000,0.903,0.756,0.697
P_si3,0.5,NaN,,0.033,,,
P_si3,1.0,NaN,,0.117,,,
P_si3,1.5,NaN,,0.221,,,
P_si3,2.0,NaN,,0.326,,,
P_si3,2.5,NaN,,0.421,,,
P_si3,3.0,2.268,,0.499,,,
P_si3,5.0,0.905,,0.633,,,
P_si3,7.0,1.699,,0.562,,,
P_si3,9.0,1.065,,0.421,,,
P_si3,12.0,0.939,,0.227,,,
P_serum,0.0,0.000,0.000,0.000,0.024,0.119,0.942
P_serum,0.5,0.867,0.867,0.843,,,
P_serum,1.0,1.335,1.335,1.209,,,
P_serum,1.5,1.122,1.122,1.334,,,
P_serum,2.0,1.442,1.442,1.337,,,
P_serum,2.5,1.088,1.088,1.283,,,
P_serum,3.0,0.929,0.929,1.205,,,
P_serum,5.0,0.869,0.869,0.864,,,
P_serum,7.0,0.614,0.614,0.602,,,
P_serum,9.0,0.665,0.665,0.419,,,
P_serum,12.0,0.349,0.349,0.242,,,
M_serum,0.0,0.003,0.003,0.000,0.001,0.024,0.669
M_serum,0.5,0.019,0.019,0.007,,,
M_serum,1.0,0.031,0.031,0.021,,,
M_serum,1.5,0.030,0.030,0.036,,,
M_serum,2.0,0.051,0.051,0.051,,,
M_serum,2.5,0.038,0.038,0.065,,,
M_serum,3.0,0.170,0.170,0.075,,,
M_serum,5.0,0.119,0.119,0.098,,,
M_serum,7.0,0.071,0.071,0.099,,,
M_serum,9.0,0.066,0.066,0.089,,,
M_serum,12.0,0.027,0.027,0.068,,,
P_cecum,0.0,0.000,0.000,0.000,0.004,0.046,0.935
P_cecum,0.5,NaN,NaN,0.010,,,
P_cecum,1.0,NaN,NaN,0.056,,,
P_cecum,1.5,NaN,NaN,0.132,,,
P_cecum,2.0,NaN,NaN,0.220,,,
P_cecum,2.5,NaN,NaN,0.306,,,
P_cecum,3.0,0.367,0.367,0.382,,,
P_cecum,5.0,0.462,0.462,0.538,,,
P_cecum,7.0,0.484,0.484,0.500,,,
P_cecum,9.0,0.522,0.522,0.384,,,
P_cecum,12.0,0.244,0.244,0.212,,,
P_colon,0.0,0.000,0.000,0.000,0.006,0.060,0.841
P_colon,0.5,NaN,NaN,0.003,,,
P_colon,1.0,NaN,NaN,0.024,,,
P_colon,1.5,NaN,NaN,0.068,,,
P_colon,2.0,NaN,NaN,0.127,,,
P_colon,2.5,NaN,NaN,0.189,,,
P_colon,3.0,0.389,0.389,0.246,,,
P_colon,5.0,0.356,0.356,0.378,,,
P_colon,7.0,0.267,0.267,0.364,,,
P_colon,9.0,0.358,0.358,0.285,,,
P_colon,12.0,0.134,0.134,0.160,,,
P_feces,0.0,0.000,0.000,0.000,0.005,0.048,0.901
P_feces,0.5,NaN,NaN,0.001,,,
P_feces,1.0,NaN,NaN,0.014,,,
P_feces,1.5,NaN,NaN,0.054,,,
P_feces,2.0,NaN,NaN,0.117,,,
P_feces,2.5,NaN,NaN,0.192,,,
P_feces,3.0,0.425,0.425,0.269,,,
P_feces,5.0,0.456,0.456,0.468,,,
P_feces,7.0,0.388,0.388,0.474,,,
P_feces,9.0,0.411,0.411,0.381,,,
P_feces,12.0,0.217,0.217,0.219,,,
M_cecum,0.0,0.102,,0.000,NaN,NaN,NaN
M_cecum,0.5,NaN,,0.000,,,
M_cecum,1.0,NaN,,0.000,,,
M_cecum,1.5,NaN,,0.000,,,
M_cecum,2.0,NaN,,0.000,,,
M_cecum,2.5,NaN,,0.000,,,
M_cecum,3.0,0.145,,0.000,,,
M_cecum,5.0,0.175,,0.000,,,
M_cecum,7.0,0.175,,0.000,,,
M_cecum,9.0,0.177,,0.000,,,
M_cecum,12.0,0.157,,0.000,,,
M_colon,0.0,0.075,,0.000,NaN,NaN,NaN
M_colon,0.5,NaN,,0.000,,,
M_colon,1.0,NaN,,0.000,,,
M_colon,1.5,NaN,,0.000,,,
M_colon,2.0,NaN,,0.000,,,
M_colon,2.5,NaN,,0.000,,,
M_colon,3.0,0.131,,0.000,,,
M_colon,5.0,0.172,,0.000,,,
M_colon,7.0,0.111,,0.000,,,
M_colon,9.0,0.115,,0.000,,,
M_colon,12.0,0.098,,0.000,,,
M_feces,0.0,0.086,,0.000,NaN,NaN,NaN
M_feces,0.5,NaN,,0.000,,,
M_feces,1.0,NaN,,0.000,,,
M_feces,1.5,NaN,,0.000,,,
M_feces,2.0,NaN,,0.000,,,
M_feces,2.5,NaN,,0.000,,,
M_feces,3.0,0.084,,0.000,,,
M_feces,5.0,0.128,,0.000,,,
M_feces,7.0,0.123,,0.000,,,
M_feces,9.0,0.120,,0.000,,,
M_feces,12.0,0.097,,0.000,,,
M_serumbact,0.0,0.000,,0.000,NaN,NaN,NaN
M_serumbact,0.5,0.000,,0.000,,,
M_serumbact,1.0,0.000,,0.000,,,
M_serumbact,1.5,0.000,,0.000,,,
M_serumbact,2.0,0.000,,0.000,,,
M_serumbact,2.5,0.000,,0.000,,,
M_serumbact,3.0,0.000,,0.000,,,
M_serumbact,5.0,0.000,,0.000,,,
M_serumbact,7.0,0.000,,0.000,,,
M_serumbact,9.0,0.000,,0.000,,,
M_serumbact,12.0,0.000,,0.000,,,
Host contribution to M_serum = 0.97
Bacterial contribution to M_serum = 0.00
Bacterial fraction in contribution to M_serum = 0.00
