Parameter,Initial value,Model estimate,Standard Error
k_aSI_P,0.789,1.299,0.185
k_e_P,0.707,0.711,0.081
k_cH,0.390,0.017,0.050
k_e_M,0.480,0.480,0.000
k_p1,0.906,0.889,0.429
k_p2,0.127,2.526,4.819
k_p3,0.614,0.911,0.750
k_p4,0.460,0.529,0.349
k_p5,0.527,0.000,0.115
k_aLI_P,0.052,0.052,0.000
k_cB,0.000,0.000,0.000
k_aLI1_M,0.000,0.000,0.000
k_aLI2_M,0.000,0.000,0.000
D,7.000,7.000,0.000
F,0.810,0.810,0.000
Vsi,0.300,0.300,0.000
Vserum,22.000,22.000,0.000
Vcecum,3.000,3.000,0.000
Vcolon,3.000,3.000,0.000
Vfeces,3.000,3.000,0.000
VcecumCVR,0.250,0.250,0.000
VcolonCVR,0.250,0.250,0.000
VfecesCVR,0.250,0.250,0.000

Metabolite,Time,Experimental data,Used for fitting,Model prediction,MAE,MSE,PCC
P_si,0.0,0.000,,0.000,NaN,NaN,NaN
P_si,0.5,0.000,,9.870,,,
P_si,1.0,0.000,,5.155,,,
P_si,1.5,0.000,,2.692,,,
P_si,2.0,0.000,,1.406,,,
P_si,3.0,0.000,,0.384,,,
P_si,5.0,0.000,,0.029,,,
P_si,7.0,0.000,,0.002,,,
P_si,9.0,0.000,,0.000,,,
P_si0,0.0,0.000,,0.000,NaN,NaN,NaN
P_si0,0.5,0.000,,2.843,,,
P_si0,1.0,0.000,,1.823,,,
P_si0,1.5,0.000,,1.169,,,
P_si0,2.0,0.000,,0.750,,,
P_si0,3.0,0.000,,0.308,,,
P_si0,5.0,0.000,,0.052,,,
P_si0,7.0,0.000,,0.009,,,
P_si0,9.0,0.000,,0.001,,,
P_si1,0.0,0.000,,0.000,0.078,0.158,0.995
P_si1,0.5,NaN,,1.263,,,
P_si1,1.0,NaN,,1.620,,,
P_si1,1.5,NaN,,1.558,,,
P_si1,2.0,NaN,,1.332,,,
P_si1,3.0,0.222,,0.822,,,
P_si1,5.0,0.065,,0.232,,,
P_si1,7.0,0.037,,0.055,,,
P_si1,9.0,0.007,,0.012,,,
P_si2,0.0,0.000,,0.000,0.099,0.207,0.996
P_si2,0.5,NaN,,0.281,,,
P_si2,1.0,NaN,,0.720,,,
P_si2,1.5,NaN,,1.039,,,
P_si2,2.0,NaN,,1.184,,,
P_si2,3.0,0.469,,1.096,,,
P_si2,5.0,0.205,,0.515,,,
P_si2,7.0,0.103,,0.170,,,
P_si2,9.0,0.015,,0.048,,,
P_si3,0.0,0.000,0.000,0.000,0.007,0.062,0.840
P_si3,0.5,NaN,NaN,0.034,,,
P_si3,1.0,NaN,NaN,0.148,,,
P_si3,1.5,NaN,NaN,0.276,,,
P_si3,2.0,NaN,NaN,0.365,,,
P_si3,3.0,0.255,0.255,0.401,,,
P_si3,5.0,0.309,0.309,0.219,,,
P_si3,7.0,0.136,0.136,0.078,,,
P_si3,9.0,0.040,0.040,0.023,,,
P_serum,0.0,0.000,0.000,0.000,0.000,0.017,0.928
P_serum,0.5,0.134,0.134,0.101,,,
P_serum,1.0,0.098,0.098,0.123,,,
P_serum,1.5,0.095,0.095,0.113,,,
P_serum,2.0,0.088,0.088,0.093,,,
P_serum,3.0,0.069,0.069,0.055,,,
P_serum,5.0,0.039,0.039,0.016,,,
P_serum,7.0,0.026,0.026,0.005,,,
P_serum,9.0,0.011,0.011,0.002,,,
M_serum,0.0,0.000,0.000,0.000,0.000,0.000,0.655
M_serum,0.5,0.002,0.002,0.000,,,
M_serum,1.0,0.002,0.002,0.001,,,
M_serum,1.5,0.002,0.002,0.002,,,
M_serum,2.0,0.002,0.002,0.002,,,
M_serum,3.0,0.002,0.002,0.002,,,
M_serum,5.0,0.001,0.001,0.002,,,
M_serum,7.0,0.001,0.001,0.001,,,
M_serum,9.0,NaN,NaN,0.000,,,
P_cecum,0.0,0.000,0.000,0.000,0.009,0.070,-0.169
P_cecum,0.5,NaN,NaN,0.001,,,
P_cecum,1.0,NaN,NaN,0.010,,,
P_cecum,1.5,NaN,NaN,0.028,,,
P_cecum,2.0,NaN,NaN,0.050,,,
P_cecum,3.0,0.015,0.015,0.084,,,
P_cecum,5.0,0.100,0.100,0.077,,,
P_cecum,7.0,0.116,0.116,0.038,,,
P_cecum,9.0,0.192,0.192,0.014,,,
P_colon,0.0,0.000,0.000,0.000,0.005,0.047,0.577
P_colon,0.5,NaN,NaN,0.000,,,
P_colon,1.0,NaN,NaN,0.002,,,
P_colon,1.5,NaN,NaN,0.009,,,
P_colon,2.0,NaN,NaN,0.022,,,
P_colon,3.0,0.032,0.032,0.061,,,
P_colon,5.0,0.117,0.117,0.112,,,
P_colon,7.0,0.158,0.158,0.092,,,
P_colon,9.0,0.190,0.190,0.053,,,
P_feces,0.0,0.000,0.000,0.000,0.003,0.045,0.994
P_feces,0.5,NaN,NaN,0.000,,,
P_feces,1.0,NaN,NaN,0.000,,,
P_feces,1.5,NaN,NaN,0.002,,,
P_feces,2.0,NaN,NaN,0.006,,,
P_feces,3.0,0.075,0.075,0.027,,,
P_feces,5.0,0.174,0.174,0.126,,,
P_feces,7.0,0.304,0.304,0.238,,,
P_feces,9.0,0.376,0.376,0.315,,,
M_cecum,0.0,0.000,,0.000,NaN,NaN,NaN
M_cecum,0.5,NaN,,0.000,,,
M_cecum,1.0,NaN,,0.000,,,
M_cecum,1.5,NaN,,0.000,,,
M_cecum,2.0,NaN,,0.000,,,
M_cecum,3.0,0.000,,0.000,,,
M_cecum,5.0,0.000,,0.000,,,
M_cecum,7.0,0.000,,0.000,,,
M_cecum,9.0,0.001,,0.000,,,
M_colon,0.0,0.000,,0.000,NaN,NaN,NaN
M_colon,0.5,NaN,,0.000,,,
M_colon,1.0,NaN,,0.000,,,
M_colon,1.5,NaN,,0.000,,,
M_colon,2.0,NaN,,0.000,,,
M_colon,3.0,0.001,,0.000,,,
M_colon,5.0,0.001,,0.000,,,
M_colon,7.0,0.000,,0.000,,,
M_colon,9.0,0.000,,0.000,,,
M_feces,0.0,0.000,,0.000,NaN,NaN,NaN
M_feces,0.5,NaN,,0.000,,,
M_feces,1.0,NaN,,0.000,,,
M_feces,1.5,NaN,,0.000,,,
M_feces,2.0,NaN,,0.000,,,
M_feces,3.0,0.001,,0.000,,,
M_feces,5.0,0.001,,0.000,,,
M_feces,7.0,0.002,,0.000,,,
M_feces,9.0,0.002,,0.000,,,
M_serumbact,0.0,0.000,,0.000,NaN,NaN,NaN
M_serumbact,0.5,0.000,,0.000,,,
M_serumbact,1.0,0.000,,0.000,,,
M_serumbact,1.5,0.000,,0.000,,,
M_serumbact,2.0,0.000,,0.000,,,
M_serumbact,3.0,0.000,,0.000,,,
